y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-01-08,47,26.857142857142858
2021-01-09,32,29.571428571428573
2021-01-10,35,30.857142857142858
2021-01-11,28,32.714285714285715
2021-01-12,43,32.142857142857146
2021-01-13,32,34.57142857142857
2021-01-14,35,35.285714285714285
2021-01-15,55,36.0
2021-01-16,29,37.142857142857146
2021-01-17,31,36.714285714285715
2021-01-18,49,36.142857142857146
2021-01-19,28,39.142857142857146
2021-01-20,28,37.0
2021-01-21,26,36.42857142857143
2021-01-22,30,35.142857142857146
2021-01-23,34,31.571428571428573
2021-01-24,45,32.285714285714285
2021-01-25,35,34.285714285714285
2021-01-26,41,32.285714285714285
2021-01-27,22,34.142857142857146
2021-01-28,28,33.285714285714285
2021-01-29,48,33.57142857142857
2021-01-30,27,36.142857142857146
2021-01-31,31,35.142857142857146
2021-02-01,22,33.142857142857146
2021-02-02,32,31.285714285714285
2021-02-03,19,30.0
2021-02-04,23,29.571428571428573
2021-02-05,40,28.857142857142858
2021-02-06,23,27.714285714285715
2021-02-07,26,27.142857142857142
2021-02-08,33,26.428571428571427
2021-02-09,28,28.0
2021-02-10,24,27.428571428571427
2021-02-11,24,28.142857142857142
2021-02-12,33,28.285714285714285
2021-02-13,32,27.285714285714285
2021-02-14,31,28.571428571428573
2021-02-15,39,29.285714285714285
2021-02-16,33,30.142857142857142
2021-02-17,37,30.857142857142858
2021-02-18,32,32.714285714285715
2021-02-19,46,33.857142857142854
2021-02-20,51,35.714285714285715
2021-02-21,52,38.42857142857143
2021-02-22,27,41.42857142857143
2021-02-23,39,39.714285714285715
2021-02-24,36,40.57142857142857
2021-02-25,43,40.42857142857143
2021-02-26,50,42.0
2021-02-27,44,42.57142857142857
2021-02-28,57,41.57142857142857
2021-03-01,49,42.285714285714285
2021-03-02,31,45.42857142857143
2021-03-03,23,44.285714285714285
2021-03-04,36,42.42857142857143
2021-03-05,47,41.42857142857143
2021-03-06,40,41.0
2021-03-07,45,40.42857142857143
2021-03-08,28,38.714285714285715
2021-03-09,42,35.714285714285715
2021-03-10,32,37.285714285714285
2021-03-11,30,38.57142857142857
2021-03-12,37,37.714285714285715
2021-03-13,42,36.285714285714285
2021-03-14,26,36.57142857142857
2021-03-15,32,33.857142857142854
2021-03-16,35,34.42857142857143
2021-03-17,34,33.42857142857143
2021-03-18,21,33.714285714285715
2021-03-19,57,32.42857142857143
2021-03-20,47,35.285714285714285
2021-03-21,42,36.0
2021-03-22,26,38.285714285714285
2021-03-23,44,37.42857142857143
2021-03-24,42,38.714285714285715
2021-03-25,37,39.857142857142854
2021-03-26,45,42.142857142857146
2021-03-27,59,40.42857142857143
2021-03-28,65,42.142857142857146
2021-03-29,40,45.42857142857143
2021-03-30,46,47.42857142857143
2021-03-31,48,47.714285714285715
2021-04-01,53,48.57142857142857
2021-04-02,46,50.857142857142854
2021-04-03,49,51.0
2021-04-04,48,49.57142857142857
2021-04-05,24,47.142857142857146
2021-04-06,31,44.857142857142854
2021-04-07,31,42.714285714285715
2021-04-08,41,40.285714285714285
2021-04-09,32,38.57142857142857
2021-04-10,29,36.57142857142857
2021-04-11,33,33.714285714285715
2021-04-12,33,31.571428571428573
2021-04-13,25,32.857142857142854
2021-04-14,32,32.0
2021-04-15,47,32.142857142857146
2021-04-16,43,33.0
2021-04-17,44,34.57142857142857
2021-04-18,53,36.714285714285715
2021-04-19,37,39.57142857142857
2021-04-20,49,40.142857142857146
2021-04-21,41,43.57142857142857
2021-04-22,35,44.857142857142854
2021-04-23,54,43.142857142857146
2021-04-24,61,44.714285714285715
2021-04-25,42,47.142857142857146
2021-04-26,32,45.57142857142857
2021-04-27,46,44.857142857142854
2021-04-28,36,44.42857142857143
2021-04-29,34,43.714285714285715
2021-04-30,41,43.57142857142857
2021-05-01,28,41.714285714285715
2021-05-02,29,37.0
2021-05-03,42,35.142857142857146
2021-05-04,54,36.57142857142857
2021-05-05,31,37.714285714285715
2021-05-06,40,37.0
2021-05-07,46,37.857142857142854
2021-05-08,73,38.57142857142857
2021-05-09,82,45.0
2021-05-10,41,52.57142857142857
2021-05-11,41,52.42857142857143
2021-05-12,42,50.57142857142857
2021-05-13,52,52.142857142857146
2021-05-14,42,53.857142857142854
2021-05-15,33,53.285714285714285
2021-05-16,36,47.57142857142857
2021-05-17,38,41.0
2021-05-18,42,40.57142857142857
2021-05-19,54,40.714285714285715
2021-05-20,46,42.42857142857143
2021-05-21,45,41.57142857142857
2021-05-22,68,42.0
2021-05-23,70,47.0
2021-05-24,34,51.857142857142854
2021-05-25,52,51.285714285714285
2021-05-26,49,52.714285714285715
2021-05-27,66,52.0
2021-05-28,70,54.857142857142854
2021-05-29,78,58.42857142857143
2021-05-30,73,59.857142857142854
2021-05-31,40,60.285714285714285
2021-06-01,63,61.142857142857146
2021-06-02,53,62.714285714285715
2021-06-03,51,63.285714285714285
2021-06-04,49,61.142857142857146
2021-06-05,65,58.142857142857146
2021-06-06,69,56.285714285714285
2021-06-07,51,55.714285714285715
2021-06-08,60,57.285714285714285
2021-06-09,74,56.857142857142854
2021-06-10,65,59.857142857142854
2021-06-11,97,61.857142857142854
2021-06-12,96,68.71428571428571
2021-06-13,89,73.14285714285714
2021-06-14,73,76.0
2021-06-15,78,79.14285714285714
2021-06-16,64,81.71428571428571
2021-06-17,50,80.28571428571429
2021-06-18,63,78.14285714285714
2021-06-19,67,73.28571428571429
2021-06-20,60,69.14285714285714
2021-06-21,59,65.0
2021-06-22,54,63.0
2021-06-23,52,59.57142857142857
2021-06-24,59,57.857142857142854
2021-06-25,64,59.142857142857146
2021-06-26,79,59.285714285714285
2021-06-27,60,61.0
2021-06-28,50,61.0
2021-06-29,49,59.714285714285715
2021-06-30,37,59.0
2021-07-01,52,56.857142857142854
2021-07-02,66,55.857142857142854
2021-07-03,71,56.142857142857146
2021-07-04,50,55.0
2021-07-05,55,53.57142857142857
2021-07-06,58,54.285714285714285
2021-07-07,45,55.57142857142857
2021-07-08,57,56.714285714285715
2021-07-09,62,57.42857142857143
2021-07-10,81,56.857142857142854
2021-07-11,71,58.285714285714285
2021-07-12,41,61.285714285714285
2021-07-13,49,59.285714285714285
2021-07-14,55,58.0
2021-07-15,50,59.42857142857143
2021-07-16,56,58.42857142857143
2021-07-17,63,57.57142857142857
2021-07-18,77,55.0
2021-07-19,69,55.857142857142854
2021-07-20,65,59.857142857142854
2021-07-21,65,62.142857142857146
2021-07-22,60,63.57142857142857
2021-07-23,61,65.0
2021-07-24,71,65.71428571428571
2021-07-25,56,66.85714285714286
2021-07-26,52,63.857142857142854
2021-07-27,45,61.42857142857143
2021-07-28,42,58.57142857142857
2021-07-29,61,55.285714285714285
2021-07-30,67,55.42857142857143
2021-07-31,61,56.285714285714285
2021-08-01,53,54.857142857142854
2021-08-02,49,54.42857142857143
2021-08-03,50,54.0
2021-08-04,46,54.714285714285715
2021-08-05,43,55.285714285714285
2021-08-06,62,52.714285714285715
2021-08-07,45,52.0
2021-08-08,52,49.714285714285715
2021-08-09,37,49.57142857142857
2021-08-10,44,47.857142857142854
2021-08-11,42,47.0
2021-08-12,67,46.42857142857143
2021-08-13,75,49.857142857142854
2021-08-14,76,51.714285714285715
2021-08-15,62,56.142857142857146
2021-08-16,34,57.57142857142857
2021-08-17,56,57.142857142857146
2021-08-18,39,58.857142857142854
2021-08-19,55,58.42857142857143
2021-08-20,86,56.714285714285715
2021-08-21,67,58.285714285714285
2021-08-22,52,57.0
2021-08-23,44,55.57142857142857
2021-08-24,36,57.0
2021-08-25,64,54.142857142857146
2021-08-26,59,57.714285714285715
2021-08-27,79,58.285714285714285
2021-08-28,80,57.285714285714285
2021-08-29,58,59.142857142857146
2021-08-30,44,60.0
2021-08-31,58,60.0
2021-09-01,48,63.142857142857146
2021-09-02,60,60.857142857142854
2021-09-03,57,61.0
2021-09-04,70,57.857142857142854
2021-09-05,73,56.42857142857143
2021-09-06,54,58.57142857142857
2021-09-07,70,60.0
2021-09-08,72,61.714285714285715
2021-09-09,43,65.14285714285714
2021-09-10,67,62.714285714285715
2021-09-11,87,64.14285714285714
2021-09-12,65,66.57142857142857
2021-09-13,67,65.42857142857143
2021-09-14,41,67.28571428571429
2021-09-15,52,63.142857142857146
