y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-01-02,23,28.0
2021-01-03,22,23.0
2021-01-04,32,22.0
2021-01-05,26,32.0
2021-01-06,27,26.0
2021-01-07,30,27.0
2021-01-08,47,30.0
2021-01-09,32,47.0
2021-01-10,35,32.0
2021-01-11,28,35.0
2021-01-12,43,28.0
2021-01-13,32,43.0
2021-01-14,35,32.0
2021-01-15,55,35.0
2021-01-16,29,55.0
2021-01-17,31,29.0
2021-01-18,49,31.0
2021-01-19,28,49.0
2021-01-20,28,28.0
2021-01-21,26,28.0
2021-01-22,30,26.0
2021-01-23,34,30.0
2021-01-24,45,34.0
2021-01-25,35,45.0
2021-01-26,41,35.0
2021-01-27,22,41.0
2021-01-28,28,22.0
2021-01-29,48,28.0
2021-01-30,27,48.0
2021-01-31,31,27.0
2021-02-01,22,31.0
2021-02-02,32,22.0
2021-02-03,19,32.0
2021-02-04,23,19.0
2021-02-05,40,23.0
2021-02-06,23,40.0
2021-02-07,26,23.0
2021-02-08,33,26.0
2021-02-09,28,33.0
2021-02-10,24,28.0
2021-02-11,24,24.0
2021-02-12,33,24.0
2021-02-13,32,33.0
2021-02-14,31,32.0
2021-02-15,39,31.0
2021-02-16,33,39.0
2021-02-17,37,33.0
2021-02-18,32,37.0
2021-02-19,46,32.0
2021-02-20,51,46.0
2021-02-21,52,51.0
2021-02-22,27,52.0
2021-02-23,39,27.0
2021-02-24,36,39.0
2021-02-25,43,36.0
2021-02-26,50,43.0
2021-02-27,44,50.0
2021-02-28,57,44.0
2021-03-01,49,57.0
2021-03-02,31,49.0
2021-03-03,23,31.0
2021-03-04,36,23.0
2021-03-05,47,36.0
2021-03-06,40,47.0
2021-03-07,45,40.0
2021-03-08,28,45.0
2021-03-09,42,28.0
2021-03-10,32,42.0
2021-03-11,30,32.0
2021-03-12,37,30.0
2021-03-13,42,37.0
2021-03-14,26,42.0
2021-03-15,32,26.0
2021-03-16,35,32.0
2021-03-17,34,35.0
2021-03-18,21,34.0
2021-03-19,57,21.0
2021-03-20,47,57.0
2021-03-21,42,47.0
2021-03-22,26,42.0
2021-03-23,44,26.0
2021-03-24,42,44.0
2021-03-25,37,42.0
2021-03-26,45,37.0
2021-03-27,59,45.0
2021-03-28,65,59.0
2021-03-29,40,65.0
2021-03-30,46,40.0
2021-03-31,48,46.0
2021-04-01,53,48.0
2021-04-02,46,53.0
2021-04-03,49,46.0
2021-04-04,48,49.0
2021-04-05,24,48.0
2021-04-06,31,24.0
2021-04-07,31,31.0
2021-04-08,41,31.0
2021-04-09,32,41.0
2021-04-10,29,32.0
2021-04-11,33,29.0
2021-04-12,33,33.0
2021-04-13,25,33.0
2021-04-14,32,25.0
2021-04-15,47,32.0
2021-04-16,43,47.0
2021-04-17,44,43.0
2021-04-18,53,44.0
2021-04-19,37,53.0
2021-04-20,49,37.0
2021-04-21,41,49.0
2021-04-22,35,41.0
2021-04-23,54,35.0
2021-04-24,61,54.0
2021-04-25,42,61.0
2021-04-26,32,42.0
2021-04-27,46,32.0
2021-04-28,36,46.0
2021-04-29,34,36.0
2021-04-30,41,34.0
2021-05-01,28,41.0
2021-05-02,29,28.0
2021-05-03,42,29.0
2021-05-04,54,42.0
2021-05-05,31,54.0
2021-05-06,40,31.0
2021-05-07,46,40.0
2021-05-08,73,46.0
2021-05-09,82,73.0
2021-05-10,41,82.0
2021-05-11,41,41.0
2021-05-12,42,41.0
2021-05-13,52,42.0
2021-05-14,42,52.0
2021-05-15,33,42.0
2021-05-16,36,33.0
2021-05-17,38,36.0
2021-05-18,42,38.0
2021-05-19,54,42.0
2021-05-20,46,54.0
2021-05-21,45,46.0
2021-05-22,68,45.0
2021-05-23,70,68.0
2021-05-24,34,70.0
2021-05-25,52,34.0
2021-05-26,49,52.0
2021-05-27,66,49.0
2021-05-28,70,66.0
2021-05-29,78,70.0
2021-05-30,73,78.0
2021-05-31,40,73.0
2021-06-01,63,40.0
2021-06-02,53,63.0
2021-06-03,51,53.0
2021-06-04,49,51.0
2021-06-05,65,49.0
2021-06-06,69,65.0
2021-06-07,51,69.0
2021-06-08,60,51.0
2021-06-09,74,60.0
