,ds,y,unique_id
0,2021-01-01,28,1
1,2021-01-02,23,1
2,2021-01-03,22,1
3,2021-01-04,32,1
4,2021-01-05,26,1
5,2021-01-06,27,1
6,2021-01-07,30,1
7,2021-01-08,47,1
8,2021-01-09,32,1
9,2021-01-10,35,1
10,2021-01-11,28,1
11,2021-01-12,43,1
12,2021-01-13,32,1
13,2021-01-14,35,1
14,2021-01-15,55,1
15,2021-01-16,29,1
16,2021-01-17,31,1
17,2021-01-18,49,1
18,2021-01-19,28,1
19,2021-01-20,28,1
20,2021-01-21,26,1
21,2021-01-22,30,1
22,2021-01-23,34,1
23,2021-01-24,45,1
24,2021-01-25,35,1
25,2021-01-26,41,1
26,2021-01-27,22,1
27,2021-01-28,28,1
28,2021-01-29,48,1
29,2021-01-30,27,1
30,2021-01-31,31,1
31,2021-02-01,22,1
32,2021-02-02,32,1
33,2021-02-03,19,1
34,2021-02-04,23,1
35,2021-02-05,40,1
36,2021-02-06,23,1
37,2021-02-07,26,1
38,2021-02-08,33,1
39,2021-02-09,28,1
40,2021-02-10,24,1
41,2021-02-11,24,1
42,2021-02-12,33,1
43,2021-02-13,32,1
44,2021-02-14,31,1
45,2021-02-15,39,1
46,2021-02-16,33,1
47,2021-02-17,37,1
48,2021-02-18,32,1
49,2021-02-19,46,1
50,2021-02-20,51,1
51,2021-02-21,52,1
52,2021-02-22,27,1
53,2021-02-23,39,1
54,2021-02-24,36,1
55,2021-02-25,43,1
56,2021-02-26,50,1
57,2021-02-27,44,1
58,2021-02-28,57,1
59,2021-03-01,49,1
60,2021-03-02,31,1
61,2021-03-03,23,1
62,2021-03-04,36,1
63,2021-03-05,47,1
64,2021-03-06,40,1
65,2021-03-07,45,1
66,2021-03-08,28,1
67,2021-03-09,42,1
68,2021-03-10,32,1
69,2021-03-11,30,1
70,2021-03-12,37,1
71,2021-03-13,42,1
72,2021-03-14,26,1
73,2021-03-15,32,1
74,2021-03-16,35,1
75,2021-03-17,34,1
76,2021-03-18,21,1
77,2021-03-19,57,1
78,2021-03-20,47,1
79,2021-03-21,42,1
80,2021-03-22,26,1
81,2021-03-23,44,1
82,2021-03-24,42,1
83,2021-03-25,37,1
84,2021-03-26,45,1
85,2021-03-27,59,1
86,2021-03-28,65,1
87,2021-03-29,40,1
88,2021-03-30,46,1
89,2021-03-31,48,1
90,2021-04-01,53,1
91,2021-04-02,46,1
92,2021-04-03,49,1
93,2021-04-04,48,1
94,2021-04-05,24,1
95,2021-04-06,31,1
96,2021-04-07,31,1
97,2021-04-08,41,1
98,2021-04-09,32,1
99,2021-04-10,29,1
100,2021-04-11,33,1
101,2021-04-12,33,1
102,2021-04-13,25,1
103,2021-04-14,32,1
104,2021-04-15,47,1
105,2021-04-16,43,1
106,2021-04-17,44,1
107,2021-04-18,53,1
108,2021-04-19,37,1
109,2021-04-20,49,1
110,2021-04-21,41,1
111,2021-04-22,35,1
112,2021-04-23,54,1
113,2021-04-24,61,1
114,2021-04-25,42,1
115,2021-04-26,32,1
116,2021-04-27,46,1
117,2021-04-28,36,1
118,2021-04-29,34,1
119,2021-04-30,41,1
120,2021-05-01,28,1
121,2021-05-02,29,1
122,2021-05-03,42,1
123,2021-05-04,54,1
124,2021-05-05,31,1
125,2021-05-06,40,1
126,2021-05-07,46,1
127,2021-05-08,73,1
128,2021-05-09,82,1
129,2021-05-10,41,1
130,2021-05-11,41,1
131,2021-05-12,42,1
132,2021-05-13,52,1
133,2021-05-14,42,1
134,2021-05-15,33,1
135,2021-05-16,36,1
136,2021-05-17,38,1
137,2021-05-18,42,1
138,2021-05-19,54,1
139,2021-05-20,46,1
140,2021-05-21,45,1
141,2021-05-22,68,1
142,2021-05-23,70,1
143,2021-05-24,34,1
144,2021-05-25,52,1
145,2021-05-26,49,1
146,2021-05-27,66,1
147,2021-05-28,70,1
148,2021-05-29,78,1
149,2021-05-30,73,1
150,2021-05-31,40,1
151,2021-06-01,63,1
152,2021-06-02,53,1
153,2021-06-03,51,1
154,2021-06-04,49,1
155,2021-06-05,65,1
156,2021-06-06,69,1
157,2021-06-07,51,1
158,2021-06-08,60,1
159,2021-06-09,74,1
160,2021-06-10,65,1
161,2021-06-11,97,1
162,2021-06-12,96,1
163,2021-06-13,89,1
164,2021-06-14,73,1
165,2021-06-15,78,1
166,2021-06-16,64,1
167,2021-06-17,50,1
168,2021-06-18,63,1
169,2021-06-19,67,1
170,2021-06-20,60,1
171,2021-06-21,59,1
172,2021-06-22,54,1
173,2021-06-23,52,1
174,2021-06-24,59,1
175,2021-06-25,64,1
176,2021-06-26,79,1
177,2021-06-27,60,1
178,2021-06-28,50,1
179,2021-06-29,49,1
180,2021-06-30,37,1
181,2021-07-01,52,1
182,2021-07-02,66,1
183,2021-07-03,71,1
184,2021-07-04,50,1
185,2021-07-05,55,1
186,2021-07-06,58,1
187,2021-07-07,45,1
188,2021-07-08,57,1
