y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-01-08,141,86.71428571428571
2021-01-09,85,94.28571428571429
2021-01-10,82,95.14285714285714
2021-01-11,110,97.57142857142857
2021-01-12,133,98.57142857142857
2021-01-13,127,107.28571428571429
2021-01-14,141,113.85714285714286
2021-01-15,132,117.0
2021-01-16,80,115.71428571428571
2021-01-17,64,115.0
2021-01-18,89,112.42857142857143
2021-01-19,114,109.42857142857143
2021-01-20,112,106.71428571428571
2021-01-21,86,104.57142857142857
2021-01-22,143,96.71428571428571
2021-01-23,106,98.28571428571429
2021-01-24,98,102.0
2021-01-25,117,106.85714285714286
2021-01-26,106,110.85714285714286
2021-01-27,100,109.71428571428571
2021-01-28,120,108.0
2021-01-29,128,112.85714285714286
2021-01-30,106,110.71428571428571
2021-01-31,76,110.71428571428571
2021-02-01,100,107.57142857142857
2021-02-02,97,105.14285714285714
2021-02-03,111,103.85714285714286
2021-02-04,98,105.42857142857143
2021-02-05,104,102.28571428571429
2021-02-06,102,98.85714285714286
2021-02-07,65,98.28571428571429
2021-02-08,92,96.71428571428571
2021-02-09,106,95.57142857142857
2021-02-10,113,96.85714285714286
2021-02-11,92,97.14285714285714
2021-02-12,89,96.28571428571429
2021-02-13,102,94.14285714285714
2021-02-14,58,94.14285714285714
2021-02-15,83,93.14285714285714
2021-02-16,95,91.85714285714286
2021-02-17,82,90.28571428571429
2021-02-18,100,85.85714285714286
2021-02-19,118,87.0
2021-02-20,117,91.14285714285714
2021-02-21,74,93.28571428571429
2021-02-22,64,95.57142857142857
2021-02-23,120,92.85714285714286
2021-02-24,129,96.42857142857143
2021-02-25,111,103.14285714285714
2021-02-26,133,104.71428571428571
2021-02-27,134,106.85714285714286
2021-02-28,104,109.28571428571429
2021-03-01,110,113.57142857142857
2021-03-02,109,120.14285714285714
2021-03-03,116,118.57142857142857
2021-03-04,90,116.71428571428571
2021-03-05,128,113.71428571428571
2021-03-06,103,113.0
2021-03-07,83,108.57142857142857
2021-03-08,108,105.57142857142857
2021-03-09,93,105.28571428571429
2021-03-10,120,103.0
2021-03-11,93,103.57142857142857
2021-03-12,124,104.0
2021-03-13,114,103.42857142857143
2021-03-14,94,105.0
2021-03-15,102,106.57142857142857
2021-03-16,103,105.71428571428571
2021-03-17,147,107.14285714285714
2021-03-18,82,111.0
2021-03-19,109,109.42857142857143
2021-03-20,93,107.28571428571429
2021-03-21,60,104.28571428571429
2021-03-22,90,99.42857142857143
2021-03-23,132,97.71428571428571
2021-03-24,120,101.85714285714286
2021-03-25,126,98.0
2021-03-26,109,104.28571428571429
2021-03-27,115,104.28571428571429
2021-03-28,100,107.42857142857143
2021-03-29,133,113.14285714285714
2021-03-30,111,119.28571428571429
2021-03-31,120,116.28571428571429
2021-04-01,133,116.28571428571429
2021-04-02,164,117.28571428571429
2021-04-03,111,125.14285714285714
2021-04-04,92,124.57142857142857
2021-04-05,58,123.42857142857143
2021-04-06,87,112.71428571428571
2021-04-07,88,109.28571428571429
2021-04-08,95,104.71428571428571
2021-04-09,98,99.28571428571429
2021-04-10,85,89.85714285714286
2021-04-11,64,86.14285714285714
2021-04-12,91,82.14285714285714
2021-04-13,89,86.85714285714286
2021-04-14,88,87.14285714285714
2021-04-15,119,87.14285714285714
2021-04-16,107,90.57142857142857
2021-04-17,88,91.85714285714286
2021-04-18,73,92.28571428571429
2021-04-19,90,93.57142857142857
2021-04-20,98,93.42857142857143
2021-04-21,83,94.71428571428571
2021-04-22,98,94.0
2021-04-23,154,91.0
2021-04-24,118,97.71428571428571
2021-04-25,83,102.0
2021-04-26,108,103.42857142857143
2021-04-27,122,106.0
2021-04-28,117,109.42857142857143
2021-04-29,89,114.28571428571429
2021-04-30,119,113.0
2021-05-01,98,108.0
2021-05-02,79,105.14285714285714
2021-05-03,140,104.57142857142857
2021-05-04,134,109.14285714285714
2021-05-05,126,110.85714285714286
2021-05-06,151,112.14285714285714
2021-05-07,155,121.0
2021-05-08,139,126.14285714285714
2021-05-09,104,132.0
2021-05-10,113,135.57142857142858
2021-05-11,109,131.71428571428572
2021-05-12,138,128.14285714285714
2021-05-13,95,129.85714285714286
2021-05-14,124,121.85714285714286
2021-05-15,109,117.42857142857143
2021-05-16,116,113.14285714285714
2021-05-17,96,114.85714285714286
2021-05-18,136,112.42857142857143
2021-05-19,143,116.28571428571429
2021-05-20,118,117.0
2021-05-21,160,120.28571428571429
2021-05-22,132,125.42857142857143
2021-05-23,130,128.71428571428572
2021-05-24,87,130.71428571428572
2021-05-25,150,129.42857142857142
2021-05-26,141,131.42857142857142
2021-05-27,185,131.14285714285714
2021-05-28,164,140.71428571428572
2021-05-29,165,141.28571428571428
2021-05-30,153,146.0
2021-05-31,187,149.28571428571428
2021-06-01,164,163.57142857142858
2021-06-02,161,165.57142857142858
2021-06-03,141,168.42857142857142
2021-06-04,158,162.14285714285714
2021-06-05,145,161.28571428571428
2021-06-06,168,158.42857142857142
2021-06-07,160,160.57142857142858
2021-06-08,169,156.71428571428572
2021-06-09,208,157.42857142857142
2021-06-10,194,164.14285714285714
2021-06-11,230,171.71428571428572
2021-06-12,173,182.0
2021-06-13,171,186.0
2021-06-14,177,186.42857142857142
2021-06-15,167,188.85714285714286
2021-06-16,213,188.57142857142858
2021-06-17,159,189.28571428571428
2021-06-18,211,184.28571428571428
2021-06-19,163,181.57142857142858
2021-06-20,111,180.14285714285714
2021-06-21,113,171.57142857142858
2021-06-22,155,162.42857142857142
2021-06-23,115,160.71428571428572
2021-06-24,139,146.71428571428572
2021-06-25,155,143.85714285714286
2021-06-26,158,135.85714285714286
2021-06-27,162,135.14285714285714
2021-06-28,161,142.42857142857142
2021-06-29,162,149.28571428571428
2021-06-30,153,150.28571428571428
2021-07-01,157,155.71428571428572
2021-07-02,195,158.28571428571428
2021-07-03,195,164.0
2021-07-04,132,169.28571428571428
2021-07-05,157,165.0
2021-07-06,152,164.42857142857142
2021-07-07,177,163.0
2021-07-08,152,166.42857142857142
2021-07-09,162,165.71428571428572
2021-07-10,153,161.0
2021-07-11,151,155.0
2021-07-12,147,157.71428571428572
2021-07-13,134,156.28571428571428
2021-07-14,120,153.71428571428572
2021-07-15,136,145.57142857142858
2021-07-16,154,143.28571428571428
2021-07-17,170,142.14285714285714
2021-07-18,152,144.57142857142858
2021-07-19,174,144.71428571428572
2021-07-20,164,148.57142857142858
2021-07-21,142,152.85714285714286
2021-07-22,137,156.0
2021-07-23,159,156.14285714285714
2021-07-24,165,156.85714285714286
2021-07-25,146,156.14285714285714
2021-07-26,126,155.28571428571428
2021-07-27,137,148.42857142857142
2021-07-28,143,144.57142857142858
2021-07-29,152,144.71428571428572
2021-07-30,153,146.85714285714286
2021-07-31,141,146.0
2021-08-01,128,142.57142857142858
2021-08-02,133,140.0
2021-08-03,118,141.0
2021-08-04,101,138.28571428571428
2021-08-05,118,132.28571428571428
2021-08-06,122,127.42857142857143
2021-08-07,132,123.0
2021-08-08,110,121.71428571428571
2021-08-09,99,119.14285714285714
2021-08-10,118,114.28571428571429
2021-08-11,114,114.28571428571429
2021-08-12,136,116.14285714285714
2021-08-13,154,118.71428571428571
2021-08-14,126,123.28571428571429
2021-08-15,99,122.42857142857143
2021-08-16,138,120.85714285714286
