y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-01-02,79,88.0
2021-01-03,65,79.0
2021-01-04,103,65.0
2021-01-05,72,103.0
2021-01-06,81,72.0
2021-01-07,119,81.0
2021-01-08,141,119.0
2021-01-09,85,141.0
2021-01-10,82,85.0
2021-01-11,110,82.0
2021-01-12,133,110.0
2021-01-13,127,133.0
2021-01-14,141,127.0
2021-01-15,132,141.0
2021-01-16,80,132.0
2021-01-17,64,80.0
2021-01-18,89,64.0
2021-01-19,114,89.0
2021-01-20,112,114.0
2021-01-21,86,112.0
2021-01-22,143,86.0
2021-01-23,106,143.0
2021-01-24,98,106.0
2021-01-25,117,98.0
2021-01-26,106,117.0
2021-01-27,100,106.0
2021-01-28,120,100.0
2021-01-29,128,120.0
2021-01-30,106,128.0
2021-01-31,76,106.0
2021-02-01,100,76.0
2021-02-02,97,100.0
2021-02-03,111,97.0
2021-02-04,98,111.0
2021-02-05,104,98.0
2021-02-06,102,104.0
2021-02-07,65,102.0
2021-02-08,92,65.0
2021-02-09,106,92.0
2021-02-10,113,106.0
2021-02-11,92,113.0
2021-02-12,89,92.0
2021-02-13,102,89.0
2021-02-14,58,102.0
2021-02-15,83,58.0
2021-02-16,95,83.0
2021-02-17,82,95.0
2021-02-18,100,82.0
2021-02-19,118,100.0
2021-02-20,117,118.0
2021-02-21,74,117.0
2021-02-22,64,74.0
2021-02-23,120,64.0
2021-02-24,129,120.0
2021-02-25,111,129.0
2021-02-26,133,111.0
2021-02-27,134,133.0
2021-02-28,104,134.0
2021-03-01,110,104.0
2021-03-02,109,110.0
2021-03-03,116,109.0
2021-03-04,90,116.0
2021-03-05,128,90.0
2021-03-06,103,128.0
2021-03-07,83,103.0
2021-03-08,108,83.0
2021-03-09,93,108.0
2021-03-10,120,93.0
2021-03-11,93,120.0
2021-03-12,124,93.0
2021-03-13,114,124.0
2021-03-14,94,114.0
2021-03-15,102,94.0
2021-03-16,103,102.0
2021-03-17,147,103.0
2021-03-18,82,147.0
2021-03-19,109,82.0
2021-03-20,93,109.0
2021-03-21,60,93.0
2021-03-22,90,60.0
2021-03-23,132,90.0
