,ds,y,unique_id
0,2021-01-01,88,1
1,2021-01-02,79,1
2,2021-01-03,65,1
3,2021-01-04,103,1
4,2021-01-05,72,1
5,2021-01-06,81,1
6,2021-01-07,119,1
7,2021-01-08,141,1
8,2021-01-09,85,1
9,2021-01-10,82,1
10,2021-01-11,110,1
11,2021-01-12,133,1
12,2021-01-13,127,1
13,2021-01-14,141,1
14,2021-01-15,132,1
15,2021-01-16,80,1
16,2021-01-17,64,1
17,2021-01-18,89,1
18,2021-01-19,114,1
19,2021-01-20,112,1
20,2021-01-21,86,1
21,2021-01-22,143,1
22,2021-01-23,106,1
23,2021-01-24,98,1
24,2021-01-25,117,1
25,2021-01-26,106,1
26,2021-01-27,100,1
27,2021-01-28,120,1
28,2021-01-29,128,1
29,2021-01-30,106,1
30,2021-01-31,76,1
31,2021-02-01,100,1
32,2021-02-02,97,1
33,2021-02-03,111,1
34,2021-02-04,98,1
35,2021-02-05,104,1
36,2021-02-06,102,1
37,2021-02-07,65,1
38,2021-02-08,92,1
39,2021-02-09,106,1
40,2021-02-10,113,1
41,2021-02-11,92,1
42,2021-02-12,89,1
43,2021-02-13,102,1
44,2021-02-14,58,1
45,2021-02-15,83,1
46,2021-02-16,95,1
47,2021-02-17,82,1
48,2021-02-18,100,1
49,2021-02-19,118,1
50,2021-02-20,117,1
51,2021-02-21,74,1
52,2021-02-22,64,1
53,2021-02-23,120,1
54,2021-02-24,129,1
55,2021-02-25,111,1
56,2021-02-26,133,1
57,2021-02-27,134,1
58,2021-02-28,104,1
59,2021-03-01,110,1
60,2021-03-02,109,1
61,2021-03-03,116,1
62,2021-03-04,90,1
63,2021-03-05,128,1
64,2021-03-06,103,1
65,2021-03-07,83,1
66,2021-03-08,108,1
67,2021-03-09,93,1
68,2021-03-10,120,1
69,2021-03-11,93,1
70,2021-03-12,124,1
71,2021-03-13,114,1
72,2021-03-14,94,1
73,2021-03-15,102,1
74,2021-03-16,103,1
75,2021-03-17,147,1
76,2021-03-18,82,1
77,2021-03-19,109,1
78,2021-03-20,93,1
79,2021-03-21,60,1
80,2021-03-22,90,1
81,2021-03-23,132,1
82,2021-03-24,120,1
83,2021-03-25,126,1
84,2021-03-26,109,1
85,2021-03-27,115,1
86,2021-03-28,100,1
87,2021-03-29,133,1
88,2021-03-30,111,1
89,2021-03-31,120,1
90,2021-04-01,133,1
91,2021-04-02,164,1
92,2021-04-03,111,1
93,2021-04-04,92,1
94,2021-04-05,58,1
95,2021-04-06,87,1
96,2021-04-07,88,1
97,2021-04-08,95,1
98,2021-04-09,98,1
99,2021-04-10,85,1
100,2021-04-11,64,1
101,2021-04-12,91,1
102,2021-04-13,89,1
103,2021-04-14,88,1
104,2021-04-15,119,1
105,2021-04-16,107,1
106,2021-04-17,88,1
107,2021-04-18,73,1
108,2021-04-19,90,1
109,2021-04-20,98,1
110,2021-04-21,83,1
111,2021-04-22,98,1
112,2021-04-23,154,1
113,2021-04-24,118,1
114,2021-04-25,83,1
115,2021-04-26,108,1
116,2021-04-27,122,1
117,2021-04-28,117,1
118,2021-04-29,89,1
119,2021-04-30,119,1
120,2021-05-01,98,1
121,2021-05-02,79,1
122,2021-05-03,140,1
123,2021-05-04,134,1
124,2021-05-05,126,1
125,2021-05-06,151,1
126,2021-05-07,155,1
127,2021-05-08,139,1
128,2021-05-09,104,1
129,2021-05-10,113,1
130,2021-05-11,109,1
131,2021-05-12,138,1
132,2021-05-13,95,1
133,2021-05-14,124,1
134,2021-05-15,109,1
135,2021-05-16,116,1
136,2021-05-17,96,1
137,2021-05-18,136,1
138,2021-05-19,143,1
139,2021-05-20,118,1
140,2021-05-21,160,1
141,2021-05-22,132,1
142,2021-05-23,130,1
143,2021-05-24,87,1
144,2021-05-25,150,1
145,2021-05-26,141,1
146,2021-05-27,185,1
147,2021-05-28,164,1
148,2021-05-29,165,1
149,2021-05-30,153,1
150,2021-05-31,187,1
151,2021-06-01,164,1
152,2021-06-02,161,1
153,2021-06-03,141,1
154,2021-06-04,158,1
155,2021-06-05,145,1
156,2021-06-06,168,1
157,2021-06-07,160,1
158,2021-06-08,169,1
159,2021-06-09,208,1
160,2021-06-10,194,1
161,2021-06-11,230,1
162,2021-06-12,173,1
163,2021-06-13,171,1
164,2021-06-14,177,1
165,2021-06-15,167,1
166,2021-06-16,213,1
167,2021-06-17,159,1
