y_m_j,Nbre_Acc
2021-01-01,88
2021-01-02,79
2021-01-03,65
2021-01-04,103
2021-01-05,72
2021-01-06,81
2021-01-07,119
2021-01-08,141
2021-01-09,85
2021-01-10,82
2021-01-11,110
2021-01-12,133
2021-01-13,127
2021-01-14,141
2021-01-15,132
2021-01-16,80
2021-01-17,64
2021-01-18,89
2021-01-19,114
2021-01-20,112
2021-01-21,86
2021-01-22,143
2021-01-23,106
2021-01-24,98
2021-01-25,117
2021-01-26,106
2021-01-27,100
2021-01-28,120
2021-01-29,128
2021-01-30,106
2021-01-31,76
2021-02-01,100
2021-02-02,97
2021-02-03,111
2021-02-04,98
2021-02-05,104
2021-02-06,102
2021-02-07,65
2021-02-08,92
2021-02-09,106
2021-02-10,113
2021-02-11,92
2021-02-12,89
2021-02-13,102
2021-02-14,58
2021-02-15,83
2021-02-16,95
2021-02-17,82
2021-02-18,100
2021-02-19,118
2021-02-20,117
2021-02-21,74
2021-02-22,64
2021-02-23,120
2021-02-24,129
2021-02-25,111
2021-02-26,133
2021-02-27,134
2021-02-28,104
2021-03-01,110
2021-03-02,109
2021-03-03,116
2021-03-04,90
2021-03-05,128
2021-03-06,103
2021-03-07,83
2021-03-08,108
2021-03-09,93
2021-03-10,120
2021-03-11,93
2021-03-12,124
2021-03-13,114
2021-03-14,94
2021-03-15,102
2021-03-16,103
2021-03-17,147
2021-03-18,82
2021-03-19,109
2021-03-20,93
2021-03-21,60
2021-03-22,90
2021-03-23,132
2021-03-24,120
2021-03-25,126
2021-03-26,109
2021-03-27,115
2021-03-28,100
2021-03-29,133
2021-03-30,111
2021-03-31,120
2021-04-01,133
2021-04-02,164
2021-04-03,111
2021-04-04,92
2021-04-05,58
2021-04-06,87
2021-04-07,88
2021-04-08,95
2021-04-09,98
2021-04-10,85
2021-04-11,64
2021-04-12,91
2021-04-13,89
2021-04-14,88
2021-04-15,119
2021-04-16,107
2021-04-17,88
2021-04-18,73
2021-04-19,90
2021-04-20,98
2021-04-21,83
2021-04-22,98
2021-04-23,154
2021-04-24,118
2021-04-25,83
2021-04-26,108
2021-04-27,122
2021-04-28,117
2021-04-29,89
2021-04-30,119
2021-05-01,98
2021-05-02,79
2021-05-03,140
2021-05-04,134
2021-05-05,126
2021-05-06,151
2021-05-07,155
2021-05-08,139
2021-05-09,104
2021-05-10,113
2021-05-11,109
2021-05-12,138
2021-05-13,95
2021-05-14,124
2021-05-15,109
2021-05-16,116
2021-05-17,96
2021-05-18,136
2021-05-19,143
2021-05-20,118
2021-05-21,160
2021-05-22,132
2021-05-23,130
2021-05-24,87
2021-05-25,150
2021-05-26,141
2021-05-27,185
2021-05-28,164
2021-05-29,165
2021-05-30,153
2021-05-31,187
2021-06-01,164
2021-06-02,161
2021-06-03,141
2021-06-04,158
2021-06-05,145
2021-06-06,168
2021-06-07,160
2021-06-08,169
2021-06-09,208
2021-06-10,194
2021-06-11,230
2021-06-12,173
2021-06-13,171
2021-06-14,177
2021-06-15,167
2021-06-16,213
2021-06-17,159
2021-06-18,211
2021-06-19,163
2021-06-20,111
2021-06-21,113
2021-06-22,155
2021-06-23,115
