y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-01-08,141,84.85714285714286
2021-01-09,86,94.85714285714286
2021-01-10,61,97.42857142857143
2021-01-11,102,96.28571428571429
2021-01-12,135,97.0
2021-01-13,111,104.85714285714286
2021-01-14,136,107.14285714285714
2021-01-15,140,110.28571428571429
2021-01-16,88,110.14285714285714
2021-01-17,68,110.42857142857143
2021-01-18,96,111.42857142857143
2021-01-19,114,110.57142857142857
2021-01-20,106,107.57142857142857
2021-01-21,108,106.85714285714286
2021-01-22,144,102.85714285714286
2021-01-23,109,103.42857142857143
2021-01-24,92,106.42857142857143
2021-01-25,107,109.85714285714286
2021-01-26,112,111.42857142857143
2021-01-27,126,111.14285714285714
2021-01-28,112,114.0
2021-01-29,128,114.57142857142857
2021-01-30,84,112.28571428571429
2021-01-31,56,108.71428571428571
2021-02-01,95,103.57142857142857
2021-02-02,90,101.85714285714286
2021-02-03,103,98.71428571428571
2021-02-04,94,95.42857142857143
2021-02-05,109,92.85714285714286
2021-02-06,101,90.14285714285714
2021-02-07,47,92.57142857142857
2021-02-08,82,91.28571428571429
2021-02-09,92,89.42857142857143
2021-02-10,103,89.71428571428571
2021-02-11,81,89.71428571428571
2021-02-12,111,87.85714285714286
2021-02-13,94,88.14285714285714
2021-02-14,47,87.14285714285714
2021-02-15,78,87.14285714285714
2021-02-16,111,86.57142857142857
2021-02-17,89,89.28571428571429
2021-02-18,104,87.28571428571429
2021-02-19,130,90.57142857142857
2021-02-20,121,93.28571428571429
2021-02-21,101,97.14285714285714
2021-02-22,73,104.85714285714286
2021-02-23,125,104.14285714285714
2021-02-24,136,106.14285714285714
2021-02-25,135,112.85714285714286
2021-02-26,121,117.28571428571429
2021-02-27,189,116.0
2021-02-28,93,125.71428571428571
2021-03-01,119,124.57142857142857
2021-03-02,98,131.14285714285714
2021-03-03,96,127.28571428571429
2021-03-04,80,121.57142857142857
2021-03-05,135,113.71428571428571
2021-03-06,121,115.71428571428571
2021-03-07,98,106.0
2021-03-08,104,106.71428571428571
2021-03-09,112,104.57142857142857
