y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-01-02,68,71.0
2021-01-03,69,68.0
2021-01-04,97,69.0
2021-01-05,80,97.0
2021-01-06,95,80.0
2021-01-07,114,95.0
2021-01-08,141,114.0
2021-01-09,86,141.0
2021-01-10,61,86.0
2021-01-11,102,61.0
2021-01-12,135,102.0
2021-01-13,111,135.0
2021-01-14,136,111.0
2021-01-15,140,136.0
2021-01-16,88,140.0
2021-01-17,68,88.0
2021-01-18,96,68.0
2021-01-19,114,96.0
2021-01-20,106,114.0
2021-01-21,108,106.0
2021-01-22,144,108.0
2021-01-23,109,144.0
2021-01-24,92,109.0
2021-01-25,107,92.0
2021-01-26,112,107.0
2021-01-27,126,112.0
2021-01-28,112,126.0
2021-01-29,128,112.0
2021-01-30,84,128.0
2021-01-31,56,84.0
2021-02-01,95,56.0
2021-02-02,90,95.0
2021-02-03,103,90.0
2021-02-04,94,103.0
2021-02-05,109,94.0
2021-02-06,101,109.0
2021-02-07,47,101.0
2021-02-08,82,47.0
2021-02-09,92,82.0
2021-02-10,103,92.0
2021-02-11,81,103.0
2021-02-12,111,81.0
2021-02-13,94,111.0
2021-02-14,47,94.0
2021-02-15,78,47.0
2021-02-16,111,78.0
2021-02-17,89,111.0
2021-02-18,104,89.0
2021-02-19,130,104.0
2021-02-20,121,130.0
2021-02-21,101,121.0
2021-02-22,73,101.0
2021-02-23,125,73.0
2021-02-24,136,125.0
2021-02-25,135,136.0
2021-02-26,121,135.0
2021-02-27,189,121.0
2021-02-28,93,189.0
2021-03-01,119,93.0
2021-03-02,98,119.0
2021-03-03,96,98.0
2021-03-04,80,96.0
2021-03-05,135,80.0
2021-03-06,121,135.0
2021-03-07,98,121.0
2021-03-08,104,98.0
2021-03-09,112,104.0
2021-03-10,135,112.0
2021-03-11,106,135.0
2021-03-12,110,106.0
2021-03-13,87,110.0
2021-03-14,83,87.0
2021-03-15,87,83.0
2021-03-16,108,87.0
2021-03-17,119,108.0
2021-03-18,70,119.0
2021-03-19,134,70.0
2021-03-20,111,134.0
2021-03-21,70,111.0
2021-03-22,77,70.0
2021-03-23,133,77.0
2021-03-24,126,133.0
2021-03-25,111,126.0
2021-03-26,107,111.0
2021-03-27,119,107.0
2021-03-28,94,119.0
2021-03-29,103,94.0
2021-03-30,124,103.0
2021-03-31,128,124.0
2021-04-01,146,128.0
2021-04-02,163,146.0
2021-04-03,130,163.0
2021-04-04,97,130.0
2021-04-05,54,97.0
2021-04-06,86,54.0
2021-04-07,88,86.0
2021-04-08,111,88.0
2021-04-09,99,111.0
2021-04-10,70,99.0
2021-04-11,73,70.0
2021-04-12,98,73.0
2021-04-13,73,98.0
2021-04-14,105,73.0
2021-04-15,121,105.0
2021-04-16,116,121.0
2021-04-17,74,116.0
2021-04-18,69,74.0
2021-04-19,97,69.0
2021-04-20,121,97.0
2021-04-21,112,121.0
2021-04-22,90,112.0
2021-04-23,147,90.0
2021-04-24,109,147.0
2021-04-25,80,109.0
2021-04-26,98,80.0
2021-04-27,107,98.0
2021-04-28,121,107.0
2021-04-29,117,121.0
2021-04-30,121,117.0
2021-05-01,77,121.0
2021-05-02,83,77.0
2021-05-03,169,83.0
2021-05-04,152,169.0
2021-05-05,117,152.0
2021-05-06,172,117.0
2021-05-07,155,172.0
2021-05-08,118,155.0
2021-05-09,104,118.0
2021-05-10,128,104.0
2021-05-11,132,128.0
2021-05-12,131,132.0
2021-05-13,85,131.0
2021-05-14,125,85.0
2021-05-15,95,125.0
2021-05-16,119,95.0
2021-05-17,108,119.0
2021-05-18,139,108.0
2021-05-19,155,139.0
2021-05-20,142,155.0
2021-05-21,174,142.0
2021-05-22,160,174.0
2021-05-23,124,160.0
2021-05-24,101,124.0
2021-05-25,137,101.0
2021-05-26,145,137.0
2021-05-27,201,145.0
2021-05-28,173,201.0
2021-05-29,173,173.0
2021-05-30,161,173.0
2021-05-31,182,161.0
2021-06-01,195,182.0
2021-06-02,172,195.0
2021-06-03,127,172.0
2021-06-04,163,127.0
2021-06-05,129,163.0
2021-06-06,125,129.0
2021-06-07,167,125.0
2021-06-08,165,167.0
2021-06-09,213,165.0
2021-06-10,209,213.0
2021-06-11,239,209.0
2021-06-12,172,239.0
2021-06-13,202,172.0
2021-06-14,183,202.0
2021-06-15,211,183.0
2021-06-16,192,211.0
2021-06-17,157,192.0
2021-06-18,196,157.0
2021-06-19,148,196.0
2021-06-20,114,148.0
2021-06-21,134,114.0
2021-06-22,149,134.0
2021-06-23,126,149.0
2021-06-24,156,126.0
2021-06-25,187,156.0
2021-06-26,158,187.0
2021-06-27,162,158.0
2021-06-28,145,162.0
2021-06-29,154,145.0
2021-06-30,134,154.0
2021-07-01,163,134.0
2021-07-02,203,163.0
2021-07-03,163,203.0
2021-07-04,119,163.0
2021-07-05,148,119.0
2021-07-06,162,148.0
2021-07-07,157,162.0
2021-07-08,158,157.0
2021-07-09,166,158.0
2021-07-10,165,166.0
2021-07-11,96,165.0
2021-07-12,128,96.0
2021-07-13,154,128.0
2021-07-14,104,154.0
2021-07-15,124,104.0
2021-07-16,195,124.0
2021-07-17,156,195.0
2021-07-18,161,156.0
2021-07-19,181,161.0
2021-07-20,161,181.0
2021-07-21,140,161.0
2021-07-22,140,140.0
2021-07-23,161,140.0
2021-07-24,172,161.0
2021-07-25,130,172.0
2021-07-26,137,130.0
2021-07-27,125,137.0
2021-07-28,129,125.0
2021-07-29,158,129.0
2021-07-30,145,158.0
2021-07-31,121,145.0
2021-08-01,104,121.0
2021-08-02,139,104.0
2021-08-03,123,139.0
2021-08-04,104,123.0
2021-08-05,128,104.0
2021-08-06,134,128.0
2021-08-07,129,134.0
2021-08-08,94,129.0
2021-08-09,128,94.0
2021-08-10,109,128.0
2021-08-11,116,109.0
2021-08-12,141,116.0
2021-08-13,156,141.0
2021-08-14,151,156.0
2021-08-15,100,151.0
2021-08-16,118,100.0
2021-08-17,141,118.0
2021-08-18,93,141.0
2021-08-19,123,93.0
2021-08-20,146,123.0
2021-08-21,151,146.0
2021-08-22,105,151.0
2021-08-23,91,105.0
2021-08-24,96,91.0
2021-08-25,158,96.0
2021-08-26,119,158.0
2021-08-27,226,119.0
2021-08-28,137,226.0
2021-08-29,110,137.0
2021-08-30,133,110.0
2021-08-31,151,133.0
2021-09-01,151,151.0
2021-09-02,145,151.0
2021-09-03,167,145.0
2021-09-04,144,167.0
2021-09-05,144,144.0
2021-09-06,167,144.0
2021-09-07,193,167.0
2021-09-08,185,193.0
2021-09-09,123,185.0
2021-09-10,176,123.0
2021-09-11,149,176.0
2021-09-12,133,149.0
2021-09-13,166,133.0
2021-09-14,159,166.0
2021-09-15,162,159.0
2021-09-16,121,162.0
2021-09-17,184,121.0
2021-09-18,181,184.0
2021-09-19,111,181.0
2021-09-20,143,111.0
2021-09-21,173,143.0
2021-09-22,192,173.0
2021-09-23,186,192.0
2021-09-24,180,186.0
2021-09-25,170,180.0
2021-09-26,120,170.0
2021-09-27,178,120.0
2021-09-28,162,178.0
2021-09-29,160,162.0
2021-09-30,192,160.0
2021-10-01,191,192.0
2021-10-02,160,191.0
2021-10-03,106,160.0
2021-10-04,134,106.0
2021-10-05,155,134.0
2021-10-06,181,155.0
2021-10-07,154,181.0
2021-10-08,196,154.0
2021-10-09,211,196.0
2021-10-10,122,211.0
2021-10-11,138,122.0
2021-10-12,175,138.0
2021-10-13,185,175.0
2021-10-14,192,185.0
2021-10-15,154,192.0
2021-10-16,204,154.0
2021-10-17,154,204.0
2021-10-18,160,154.0
2021-10-19,186,160.0
2021-10-20,141,186.0
2021-10-21,154,141.0
2021-10-22,225,154.0
2021-10-23,160,225.0
2021-10-24,143,160.0
2021-10-25,137,143.0
2021-10-26,109,137.0
2021-10-27,158,109.0
2021-10-28,173,158.0
2021-10-29,164,173.0
2021-10-30,131,164.0
2021-10-31,151,131.0
2021-11-01,100,151.0
2021-11-02,138,100.0
2021-11-03,149,138.0
2021-11-04,119,149.0
2021-11-05,163,119.0
2021-11-06,126,163.0
2021-11-07,86,126.0
