,ds,y,unique_id
0,2021-01-01,71,1
1,2021-01-02,68,1
2,2021-01-03,69,1
3,2021-01-04,97,1
4,2021-01-05,80,1
5,2021-01-06,95,1
6,2021-01-07,114,1
7,2021-01-08,141,1
8,2021-01-09,86,1
9,2021-01-10,61,1
10,2021-01-11,102,1
11,2021-01-12,135,1
12,2021-01-13,111,1
13,2021-01-14,136,1
14,2021-01-15,140,1
15,2021-01-16,88,1
16,2021-01-17,68,1
17,2021-01-18,96,1
18,2021-01-19,114,1
19,2021-01-20,106,1
20,2021-01-21,108,1
21,2021-01-22,144,1
22,2021-01-23,109,1
23,2021-01-24,92,1
24,2021-01-25,107,1
25,2021-01-26,112,1
26,2021-01-27,126,1
27,2021-01-28,112,1
28,2021-01-29,128,1
29,2021-01-30,84,1
30,2021-01-31,56,1
31,2021-02-01,95,1
32,2021-02-02,90,1
33,2021-02-03,103,1
34,2021-02-04,94,1
35,2021-02-05,109,1
36,2021-02-06,101,1
37,2021-02-07,47,1
38,2021-02-08,82,1
39,2021-02-09,92,1
40,2021-02-10,103,1
41,2021-02-11,81,1
42,2021-02-12,111,1
43,2021-02-13,94,1
44,2021-02-14,47,1
45,2021-02-15,78,1
46,2021-02-16,111,1
47,2021-02-17,89,1
48,2021-02-18,104,1
49,2021-02-19,130,1
50,2021-02-20,121,1
51,2021-02-21,101,1
52,2021-02-22,73,1
53,2021-02-23,125,1
54,2021-02-24,136,1
55,2021-02-25,135,1
56,2021-02-26,121,1
57,2021-02-27,189,1
58,2021-02-28,93,1
59,2021-03-01,119,1
60,2021-03-02,98,1
61,2021-03-03,96,1
62,2021-03-04,80,1
63,2021-03-05,135,1
64,2021-03-06,121,1
65,2021-03-07,98,1
66,2021-03-08,104,1
67,2021-03-09,112,1
68,2021-03-10,135,1
69,2021-03-11,106,1
70,2021-03-12,110,1
71,2021-03-13,87,1
72,2021-03-14,83,1
73,2021-03-15,87,1
74,2021-03-16,108,1
75,2021-03-17,119,1
76,2021-03-18,70,1
77,2021-03-19,134,1
78,2021-03-20,111,1
79,2021-03-21,70,1
80,2021-03-22,77,1
81,2021-03-23,133,1
82,2021-03-24,126,1
83,2021-03-25,111,1
84,2021-03-26,107,1
85,2021-03-27,119,1
86,2021-03-28,94,1
87,2021-03-29,103,1
88,2021-03-30,124,1
89,2021-03-31,128,1
90,2021-04-01,146,1
91,2021-04-02,163,1
92,2021-04-03,130,1
93,2021-04-04,97,1
94,2021-04-05,54,1
95,2021-04-06,86,1
96,2021-04-07,88,1
97,2021-04-08,111,1
98,2021-04-09,99,1
99,2021-04-10,70,1
100,2021-04-11,73,1
101,2021-04-12,98,1
102,2021-04-13,73,1
103,2021-04-14,105,1
104,2021-04-15,121,1
105,2021-04-16,116,1
106,2021-04-17,74,1
107,2021-04-18,69,1
108,2021-04-19,97,1
109,2021-04-20,121,1
110,2021-04-21,112,1
111,2021-04-22,90,1
112,2021-04-23,147,1
113,2021-04-24,109,1
114,2021-04-25,80,1
115,2021-04-26,98,1
116,2021-04-27,107,1
117,2021-04-28,121,1
118,2021-04-29,117,1
119,2021-04-30,121,1
120,2021-05-01,77,1
121,2021-05-02,83,1
122,2021-05-03,169,1
123,2021-05-04,152,1
124,2021-05-05,117,1
125,2021-05-06,172,1
126,2021-05-07,155,1
127,2021-05-08,118,1
128,2021-05-09,104,1
129,2021-05-10,128,1
130,2021-05-11,132,1
131,2021-05-12,131,1
132,2021-05-13,85,1
133,2021-05-14,125,1
134,2021-05-15,95,1
135,2021-05-16,119,1
136,2021-05-17,108,1
137,2021-05-18,139,1
138,2021-05-19,155,1
139,2021-05-20,142,1
140,2021-05-21,174,1
141,2021-05-22,160,1
142,2021-05-23,124,1
143,2021-05-24,101,1
144,2021-05-25,137,1
145,2021-05-26,145,1
146,2021-05-27,201,1
147,2021-05-28,173,1
148,2021-05-29,173,1
149,2021-05-30,161,1
150,2021-05-31,182,1
151,2021-06-01,195,1
152,2021-06-02,172,1
153,2021-06-03,127,1
154,2021-06-04,163,1
155,2021-06-05,129,1
156,2021-06-06,125,1
157,2021-06-07,167,1
158,2021-06-08,165,1
159,2021-06-09,213,1
160,2021-06-10,209,1
161,2021-06-11,239,1
162,2021-06-12,172,1
163,2021-06-13,202,1
164,2021-06-14,183,1
165,2021-06-15,211,1
166,2021-06-16,192,1
167,2021-06-17,157,1
168,2021-06-18,196,1
169,2021-06-19,148,1
170,2021-06-20,114,1
171,2021-06-21,134,1
172,2021-06-22,149,1
173,2021-06-23,126,1
174,2021-06-24,156,1
175,2021-06-25,187,1
176,2021-06-26,158,1
177,2021-06-27,162,1
178,2021-06-28,145,1
179,2021-06-29,154,1
180,2021-06-30,134,1
181,2021-07-01,163,1
182,2021-07-02,203,1
183,2021-07-03,163,1
184,2021-07-04,119,1
185,2021-07-05,148,1
186,2021-07-06,162,1
187,2021-07-07,157,1
188,2021-07-08,158,1
189,2021-07-09,166,1
190,2021-07-10,165,1
191,2021-07-11,96,1
192,2021-07-12,128,1
193,2021-07-13,154,1
194,2021-07-14,104,1
195,2021-07-15,124,1
196,2021-07-16,195,1
197,2021-07-17,156,1
198,2021-07-18,161,1
199,2021-07-19,181,1
200,2021-07-20,161,1
201,2021-07-21,140,1
202,2021-07-22,140,1
203,2021-07-23,161,1
204,2021-07-24,172,1
205,2021-07-25,130,1
206,2021-07-26,137,1
207,2021-07-27,125,1
208,2021-07-28,129,1
209,2021-07-29,158,1
210,2021-07-30,145,1
211,2021-07-31,121,1
212,2021-08-01,104,1
213,2021-08-02,139,1
214,2021-08-03,123,1
215,2021-08-04,104,1
216,2021-08-05,128,1
217,2021-08-06,134,1
218,2021-08-07,129,1
219,2021-08-08,94,1
220,2021-08-09,128,1
221,2021-08-10,109,1
222,2021-08-11,116,1
223,2021-08-12,141,1
224,2021-08-13,156,1
225,2021-08-14,151,1
226,2021-08-15,100,1
227,2021-08-16,118,1
228,2021-08-17,141,1
229,2021-08-18,93,1
230,2021-08-19,123,1
231,2021-08-20,146,1
232,2021-08-21,151,1
233,2021-08-22,105,1
234,2021-08-23,91,1
235,2021-08-24,96,1
236,2021-08-25,158,1
237,2021-08-26,119,1
238,2021-08-27,226,1
239,2021-08-28,137,1
240,2021-08-29,110,1
241,2021-08-30,133,1
242,2021-08-31,151,1
243,2021-09-01,151,1
244,2021-09-02,145,1
245,2021-09-03,167,1
246,2021-09-04,144,1
247,2021-09-05,144,1
248,2021-09-06,167,1
249,2021-09-07,193,1
250,2021-09-08,185,1
251,2021-09-09,123,1
252,2021-09-10,176,1
253,2021-09-11,149,1
254,2021-09-12,133,1
255,2021-09-13,166,1
256,2021-09-14,159,1
257,2021-09-15,162,1
258,2021-09-16,121,1
259,2021-09-17,184,1
260,2021-09-18,181,1
261,2021-09-19,111,1
262,2021-09-20,143,1
263,2021-09-21,173,1
264,2021-09-22,192,1
265,2021-09-23,186,1
266,2021-09-24,180,1
267,2021-09-25,170,1
268,2021-09-26,120,1
269,2021-09-27,178,1
270,2021-09-28,162,1
271,2021-09-29,160,1
272,2021-09-30,192,1
273,2021-10-01,191,1
274,2021-10-02,160,1
275,2021-10-03,106,1
276,2021-10-04,134,1
277,2021-10-05,155,1
278,2021-10-06,181,1
279,2021-10-07,154,1
280,2021-10-08,196,1
281,2021-10-09,211,1
282,2021-10-10,122,1
283,2021-10-11,138,1
284,2021-10-12,175,1
285,2021-10-13,185,1
286,2021-10-14,192,1
287,2021-10-15,154,1
288,2021-10-16,204,1
289,2021-10-17,154,1
290,2021-10-18,160,1
291,2021-10-19,186,1
292,2021-10-20,141,1
293,2021-10-21,154,1
294,2021-10-22,225,1
295,2021-10-23,160,1
296,2021-10-24,143,1
297,2021-10-25,137,1
298,2021-10-26,109,1
299,2021-10-27,158,1
300,2021-10-28,173,1
301,2021-10-29,164,1
302,2021-10-30,131,1
303,2021-10-31,151,1
304,2021-11-01,100,1
305,2021-11-02,138,1
306,2021-11-03,149,1
307,2021-11-04,119,1
308,2021-11-05,163,1
309,2021-11-06,126,1
310,2021-11-07,86,1
311,2021-11-08,158,1
312,2021-11-09,121,1
313,2021-11-10,156,1
314,2021-11-11,88,1
315,2021-11-12,129,1
316,2021-11-13,136,1
317,2021-11-14,102,1
318,2021-11-15,149,1
319,2021-11-16,152,1
320,2021-11-17,140,1
321,2021-11-18,149,1
322,2021-11-19,197,1
323,2021-11-20,124,1
324,2021-11-21,86,1
325,2021-11-22,127,1
326,2021-11-23,137,1
327,2021-11-24,148,1
328,2021-11-25,136,1
329,2021-11-26,180,1
330,2021-11-27,140,1
331,2021-11-28,79,1
332,2021-11-29,149,1
333,2021-11-30,154,1
334,2021-12-01,148,1
335,2021-12-02,158,1
336,2021-12-03,192,1
337,2021-12-04,164,1
338,2021-12-05,124,1
339,2021-12-06,138,1
340,2021-12-07,149,1
341,2021-12-08,154,1
342,2021-12-09,179,1
343,2021-12-10,155,1
344,2021-12-11,145,1
345,2021-12-12,89,1
346,2021-12-13,157,1
347,2021-12-14,142,1
348,2021-12-15,130,1
349,2021-12-16,136,1
350,2021-12-17,165,1
351,2021-12-18,139,1
352,2021-12-19,107,1
353,2021-12-20,98,1
354,2021-12-21,138,1
355,2021-12-22,135,1
356,2021-12-23,139,1
357,2021-12-24,89,1
358,2021-12-25,79,1
359,2021-12-26,97,1
360,2021-12-27,84,1
361,2021-12-28,106,1
362,2021-12-29,86,1
363,2021-12-30,108,1
364,2021-12-31,108,1
365,2022-01-01,79,1
366,2022-01-02,61,1
367,2022-01-03,105,1
368,2022-01-04,115,1
369,2022-01-05,93,1
370,2022-01-06,111,1
371,2022-01-07,135,1
372,2022-01-08,85,1
373,2022-01-09,85,1
374,2022-01-10,108,1
375,2022-01-11,109,1
376,2022-01-12,135,1
377,2022-01-13,121,1
378,2022-01-14,141,1
379,2022-01-15,112,1
380,2022-01-16,72,1
381,2022-01-17,112,1
382,2022-01-18,103,1
383,2022-01-19,100,1
384,2022-01-20,92,1
385,2022-01-21,144,1
386,2022-01-22,109,1
387,2022-01-23,79,1
388,2022-01-24,122,1
389,2022-01-25,105,1
390,2022-01-26,93,1
391,2022-01-27,100,1
392,2022-01-28,124,1
393,2022-01-29,134,1
394,2022-01-30,105,1
395,2022-01-31,105,1
396,2022-02-01,124,1
397,2022-02-02,108,1
398,2022-02-03,114,1
399,2022-02-04,169,1
400,2022-02-05,164,1
401,2022-02-06,83,1
402,2022-02-07,114,1
403,2022-02-08,108,1
404,2022-02-09,137,1
405,2022-02-10,118,1
406,2022-02-11,160,1
407,2022-02-12,135,1
408,2022-02-13,74,1
409,2022-02-14,112,1
410,2022-02-15,110,1
411,2022-02-16,98,1
412,2022-02-17,100,1
413,2022-02-18,134,1
414,2022-02-19,124,1
415,2022-02-20,88,1
416,2022-02-21,107,1
417,2022-02-22,119,1
418,2022-02-23,115,1
419,2022-02-24,88,1
420,2022-02-25,141,1
421,2022-02-26,195,1
422,2022-02-27,102,1
423,2022-02-28,106,1
424,2022-03-01,108,1
425,2022-03-02,97,1
426,2022-03-03,147,1
427,2022-03-04,150,1
428,2022-03-05,124,1
429,2022-03-06,107,1
430,2022-03-07,101,1
431,2022-03-08,129,1
432,2022-03-09,118,1
433,2022-03-10,117,1
434,2022-03-11,153,1
435,2022-03-12,143,1
436,2022-03-13,97,1
437,2022-03-14,122,1
438,2022-03-15,106,1
439,2022-03-16,108,1
440,2022-03-17,116,1
441,2022-03-18,147,1
442,2022-03-19,139,1
443,2022-03-20,105,1
444,2022-03-21,134,1
445,2022-03-22,110,1
446,2022-03-23,136,1
447,2022-03-24,137,1
448,2022-03-25,185,1
449,2022-03-26,135,1
450,2022-03-27,97,1
451,2022-03-28,93,1
452,2022-03-29,92,1
453,2022-03-30,114,1
454,2022-03-31,117,1
455,2022-04-01,119,1
456,2022-04-02,106,1
457,2022-04-03,64,1
458,2022-04-04,92,1
459,2022-04-05,145,1
460,2022-04-06,105,1
461,2022-04-07,118,1
462,2022-04-08,137,1
463,2022-04-09,124,1
464,2022-04-10,136,1
465,2022-04-11,133,1
466,2022-04-12,111,1
467,2022-04-13,136,1
468,2022-04-14,134,1
469,2022-04-15,174,1
470,2022-04-16,180,1
471,2022-04-17,128,1
472,2022-04-18,94,1
473,2022-04-19,111,1
474,2022-04-20,137,1
475,2022-04-21,127,1
476,2022-04-22,145,1
477,2022-04-23,84,1
478,2022-04-24,84,1
479,2022-04-25,143,1
480,2022-04-26,128,1
481,2022-04-27,139,1
482,2022-04-28,147,1
483,2022-04-29,154,1
484,2022-04-30,145,1
485,2022-05-01,114,1
486,2022-05-02,117,1
487,2022-05-03,119,1
488,2022-05-04,128,1
489,2022-05-05,109,1
490,2022-05-06,179,1
491,2022-05-07,143,1
492,2022-05-08,148,1
493,2022-05-09,153,1
494,2022-05-10,161,1
495,2022-05-11,187,1
496,2022-05-12,130,1
497,2022-05-13,186,1
498,2022-05-14,155,1
499,2022-05-15,117,1
500,2022-05-16,129,1
501,2022-05-17,185,1
502,2022-05-18,155,1
503,2022-05-19,149,1
504,2022-05-20,197,1
505,2022-05-21,171,1
506,2022-05-22,132,1
507,2022-05-23,149,1
508,2022-05-24,138,1
509,2022-05-25,138,1
510,2022-05-26,110,1
511,2022-05-27,130,1
512,2022-05-28,124,1
513,2022-05-29,137,1
514,2022-05-30,133,1
515,2022-05-31,125,1
516,2022-06-01,170,1
517,2022-06-02,150,1
518,2022-06-03,186,1
519,2022-06-04,208,1
520,2022-06-05,91,1
521,2022-06-06,93,1
522,2022-06-07,140,1
523,2022-06-08,129,1
524,2022-06-09,159,1
525,2022-06-10,156,1
526,2022-06-11,155,1
527,2022-06-12,132,1
528,2022-06-13,169,1
529,2022-06-14,178,1
530,2022-06-15,166,1
531,2022-06-16,174,1
532,2022-06-17,176,1
533,2022-06-18,143,1
534,2022-06-19,163,1
535,2022-06-20,141,1
536,2022-06-21,155,1
537,2022-06-22,162,1
538,2022-06-23,134,1
539,2022-06-24,166,1
540,2022-06-25,130,1
541,2022-06-26,147,1
542,2022-06-27,138,1
543,2022-06-28,140,1
544,2022-06-29,163,1
545,2022-06-30,125,1
546,2022-07-01,205,1
547,2022-07-02,146,1
548,2022-07-03,120,1
549,2022-07-04,177,1
550,2022-07-05,176,1
551,2022-07-06,135,1
552,2022-07-07,151,1
553,2022-07-08,189,1
554,2022-07-09,157,1
555,2022-07-10,145,1
556,2022-07-11,141,1
557,2022-07-12,157,1
558,2022-07-13,146,1
559,2022-07-14,114,1
560,2022-07-15,115,1
561,2022-07-16,136,1
562,2022-07-17,121,1
563,2022-07-18,97,1
564,2022-07-19,122,1
565,2022-07-20,133,1
566,2022-07-21,153,1
567,2022-07-22,100,1
568,2022-07-23,134,1
569,2022-07-24,109,1
570,2022-07-25,97,1
571,2022-07-26,116,1
572,2022-07-27,123,1
573,2022-07-28,136,1
574,2022-07-29,127,1
575,2022-07-30,131,1
576,2022-07-31,103,1
577,2022-08-01,110,1
578,2022-08-02,150,1
