y_m_j,Nbre_Acc
2021-01-01,71
2021-01-02,68
2021-01-03,69
2021-01-04,97
2021-01-05,80
2021-01-06,95
2021-01-07,114
2021-01-08,141
2021-01-09,86
2021-01-10,61
2021-01-11,102
2021-01-12,135
2021-01-13,111
2021-01-14,136
2021-01-15,140
2021-01-16,88
2021-01-17,68
2021-01-18,96
2021-01-19,114
2021-01-20,106
2021-01-21,108
2021-01-22,144
2021-01-23,109
2021-01-24,92
2021-01-25,107
2021-01-26,112
2021-01-27,126
2021-01-28,112
2021-01-29,128
2021-01-30,84
2021-01-31,56
2021-02-01,95
2021-02-02,90
2021-02-03,103
2021-02-04,94
2021-02-05,109
2021-02-06,101
2021-02-07,47
2021-02-08,82
2021-02-09,92
2021-02-10,103
2021-02-11,81
2021-02-12,111
2021-02-13,94
2021-02-14,47
2021-02-15,78
2021-02-16,111
2021-02-17,89
2021-02-18,104
2021-02-19,130
2021-02-20,121
2021-02-21,101
2021-02-22,73
2021-02-23,125
2021-02-24,136
2021-02-25,135
2021-02-26,121
2021-02-27,189
2021-02-28,93
2021-03-01,119
2021-03-02,98
2021-03-03,96
2021-03-04,80
2021-03-05,135
2021-03-06,121
2021-03-07,98
2021-03-08,104
2021-03-09,112
2021-03-10,135
2021-03-11,106
2021-03-12,110
2021-03-13,87
2021-03-14,83
2021-03-15,87
2021-03-16,108
2021-03-17,119
2021-03-18,70
2021-03-19,134
2021-03-20,111
2021-03-21,70
2021-03-22,77
2021-03-23,133
2021-03-24,126
2021-03-25,111
2021-03-26,107
2021-03-27,119
2021-03-28,94
2021-03-29,103
2021-03-30,124
2021-03-31,128
2021-04-01,146
2021-04-02,163
2021-04-03,130
2021-04-04,97
2021-04-05,54
2021-04-06,86
2021-04-07,88
2021-04-08,111
2021-04-09,99
2021-04-10,70
2021-04-11,73
2021-04-12,98
2021-04-13,73
2021-04-14,105
2021-04-15,121
2021-04-16,116
2021-04-17,74
2021-04-18,69
2021-04-19,97
2021-04-20,121
2021-04-21,112
2021-04-22,90
2021-04-23,147
2021-04-24,109
2021-04-25,80
2021-04-26,98
2021-04-27,107
2021-04-28,121
2021-04-29,117
2021-04-30,121
2021-05-01,77
2021-05-02,83
2021-05-03,169
2021-05-04,152
2021-05-05,117
2021-05-06,172
2021-05-07,155
2021-05-08,118
2021-05-09,104
2021-05-10,128
2021-05-11,132
2021-05-12,131
2021-05-13,85
2021-05-14,125
2021-05-15,95
2021-05-16,119
2021-05-17,108
2021-05-18,139
2021-05-19,155
2021-05-20,142
2021-05-21,174
2021-05-22,160
2021-05-23,124
2021-05-24,101
2021-05-25,137
2021-05-26,145
2021-05-27,201
2021-05-28,173
2021-05-29,173
2021-05-30,161
2021-05-31,182
2021-06-01,195
2021-06-02,172
2021-06-03,127
2021-06-04,163
2021-06-05,129
2021-06-06,125
2021-06-07,167
2021-06-08,165
2021-06-09,213
2021-06-10,209
2021-06-11,239
2021-06-12,172
2021-06-13,202
2021-06-14,183
2021-06-15,211
2021-06-16,192
2021-06-17,157
2021-06-18,196
2021-06-19,148
2021-06-20,114
2021-06-21,134
2021-06-22,149
2021-06-23,126
2021-06-24,156
2021-06-25,187
2021-06-26,158
2021-06-27,162
2021-06-28,145
2021-06-29,154
2021-06-30,134
2021-07-01,163
2021-07-02,203
2021-07-03,163
2021-07-04,119
2021-07-05,148
2021-07-06,162
2021-07-07,157
2021-07-08,158
2021-07-09,166
2021-07-10,165
2021-07-11,96
2021-07-12,128
2021-07-13,154
2021-07-14,104
2021-07-15,124
2021-07-16,195
2021-07-17,156
2021-07-18,161
2021-07-19,181
2021-07-20,161
2021-07-21,140
2021-07-22,140
2021-07-23,161
2021-07-24,172
2021-07-25,130
2021-07-26,137
2021-07-27,125
2021-07-28,129
2021-07-29,158
2021-07-30,145
2021-07-31,121
2021-08-01,104
2021-08-02,139
2021-08-03,123
2021-08-04,104
2021-08-05,128
2021-08-06,134
2021-08-07,129
2021-08-08,94
2021-08-09,128
2021-08-10,109
2021-08-11,116
2021-08-12,141
2021-08-13,156
2021-08-14,151
2021-08-15,100
2021-08-16,118
2021-08-17,141
2021-08-18,93
2021-08-19,123
2021-08-20,146
2021-08-21,151
2021-08-22,105
2021-08-23,91
2021-08-24,96
2021-08-25,158
2021-08-26,119
2021-08-27,226
2021-08-28,137
2021-08-29,110
2021-08-30,133
2021-08-31,151
2021-09-01,151
2021-09-02,145
2021-09-03,167
2021-09-04,144
2021-09-05,144
2021-09-06,167
2021-09-07,193
2021-09-08,185
2021-09-09,123
2021-09-10,176
2021-09-11,149
2021-09-12,133
2021-09-13,166
2021-09-14,159
2021-09-15,162
2021-09-16,121
2021-09-17,184
2021-09-18,181
2021-09-19,111
2021-09-20,143
2021-09-21,173
2021-09-22,192
2021-09-23,186
2021-09-24,180
2021-09-25,170
2021-09-26,120
2021-09-27,178
2021-09-28,162
2021-09-29,160
2021-09-30,192
2021-10-01,191
2021-10-02,160
2021-10-03,106
2021-10-04,134
2021-10-05,155
2021-10-06,181
2021-10-07,154
2021-10-08,196
2021-10-09,211
2021-10-10,122
2021-10-11,138
2021-10-12,175
2021-10-13,185
2021-10-14,192
2021-10-15,154
2021-10-16,204
2021-10-17,154
2021-10-18,160
2021-10-19,186
2021-10-20,141
2021-10-21,154
2021-10-22,225
2021-10-23,160
2021-10-24,143
2021-10-25,137
2021-10-26,109
2021-10-27,158
2021-10-28,173
2021-10-29,164
2021-10-30,131
2021-10-31,151
2021-11-01,100
2021-11-02,138
2021-11-03,149
2021-11-04,119
2021-11-05,163
2021-11-06,126
2021-11-07,86
2021-11-08,158
2021-11-09,121
2021-11-10,156
2021-11-11,88
2021-11-12,129
2021-11-13,136
2021-11-14,102
2021-11-15,149
2021-11-16,152
2021-11-17,140
2021-11-18,149
2021-11-19,197
2021-11-20,124
2021-11-21,86
2021-11-22,127
2021-11-23,137
2021-11-24,148
2021-11-25,136
2021-11-26,180
2021-11-27,140
2021-11-28,79
2021-11-29,149
2021-11-30,154
2021-12-01,148
2021-12-02,158
2021-12-03,192
2021-12-04,164
2021-12-05,124
2021-12-06,138
2021-12-07,149
2021-12-08,154
2021-12-09,179
2021-12-10,155
2021-12-11,145
2021-12-12,89
2021-12-13,157
2021-12-14,142
2021-12-15,130
2021-12-16,136
2021-12-17,165
2021-12-18,139
