y_m_j,Nbre_Acc,Nbre_Acc_t-1
2021-01-08,8,4.857142857142857
2021-01-09,7,5.142857142857143
2021-01-10,6,5.571428571428571
2021-01-11,10,5.714285714285714
2021-01-12,7,6.571428571428571
2021-01-13,8,7.285714285714286
2021-01-14,7,7.714285714285714
2021-01-15,6,7.571428571428571
2021-01-16,7,7.285714285714286
2021-01-17,4,7.285714285714286
2021-01-18,4,7.0
2021-01-19,7,6.142857142857143
2021-01-20,4,6.142857142857143
2021-01-21,4,5.571428571428571
2021-01-22,9,5.142857142857143
2021-01-23,7,5.571428571428571
2021-01-24,8,5.571428571428571
2021-01-25,6,6.142857142857143
2021-01-26,6,6.428571428571429
2021-01-27,8,6.285714285714286
2021-01-28,4,6.857142857142857
2021-01-29,5,6.857142857142857
2021-01-30,7,6.285714285714286
2021-01-31,5,6.285714285714286
2021-02-01,5,5.857142857142857
2021-02-02,4,5.714285714285714
2021-02-03,11,5.428571428571429
2021-02-04,6,5.857142857142857
2021-02-05,2,6.142857142857143
2021-02-06,6,5.714285714285714
2021-02-07,4,5.571428571428571
2021-02-08,3,5.428571428571429
2021-02-09,7,5.142857142857143
2021-02-10,7,5.571428571428571
2021-02-11,7,5.0
2021-02-12,3,5.142857142857143
2021-02-13,9,5.285714285714286
2021-02-14,8,5.714285714285714
2021-02-15,3,6.285714285714286
2021-02-16,11,6.285714285714286
2021-02-17,7,6.857142857142857
2021-02-18,3,6.857142857142857
2021-02-19,17,6.285714285714286
2021-02-20,9,8.285714285714286
2021-02-21,6,8.285714285714286
2021-02-22,4,8.0
2021-02-23,6,8.142857142857142
2021-02-24,4,7.428571428571429
2021-02-25,6,7.0
2021-02-26,7,7.428571428571429
2021-02-27,7,6.0
2021-02-28,8,5.714285714285714
2021-03-01,4,6.0
2021-03-02,1,6.0
2021-03-03,3,5.285714285714286
2021-03-04,3,5.142857142857143
2021-03-05,4,4.714285714285714
2021-03-06,12,4.285714285714286
2021-03-07,8,5.0
2021-03-08,7,5.0
2021-03-09,6,5.428571428571429
2021-03-10,5,6.142857142857143
2021-03-11,4,6.428571428571429
2021-03-12,11,6.571428571428571
2021-03-13,6,7.571428571428571
2021-03-14,9,6.714285714285714
2021-03-15,4,6.857142857142857
2021-03-16,5,6.428571428571429
2021-03-17,3,6.285714285714286
2021-03-18,6,6.0
2021-03-19,8,6.285714285714286
2021-03-20,9,5.857142857142857
2021-03-21,5,6.285714285714286
2021-03-22,4,5.714285714285714
2021-03-23,9,5.714285714285714
2021-03-24,4,6.285714285714286
2021-03-25,6,6.428571428571429
2021-03-26,8,6.428571428571429
2021-03-27,13,6.428571428571429
2021-03-28,7,7.0
2021-03-29,3,7.285714285714286
2021-03-30,5,7.142857142857143
2021-03-31,5,6.571428571428571
2021-04-01,9,6.714285714285714
2021-04-02,10,7.142857142857143
2021-04-03,11,7.428571428571429
2021-04-04,5,7.142857142857143
2021-04-05,5,6.857142857142857
2021-04-06,2,7.142857142857143
2021-04-07,7,6.714285714285714
2021-04-08,4,7.0
2021-04-09,6,6.285714285714286
2021-04-10,4,5.714285714285714
2021-04-11,7,4.714285714285714
2021-04-12,7,5.0
2021-04-13,4,5.285714285714286
2021-04-14,11,5.571428571428571
2021-04-15,9,6.142857142857143
2021-04-16,10,6.857142857142857
2021-04-17,6,7.428571428571429
2021-04-18,8,7.714285714285714
2021-04-19,2,7.857142857142857
2021-04-20,9,7.142857142857143
2021-04-21,6,7.857142857142857
2021-04-22,10,7.142857142857143
2021-04-23,11,7.285714285714286
2021-04-24,14,7.428571428571429
2021-04-25,13,8.571428571428571
2021-04-26,4,9.285714285714286
2021-04-27,4,9.571428571428571
2021-04-28,5,8.857142857142858
2021-04-29,5,8.714285714285714
2021-04-30,7,8.0
2021-05-01,6,7.428571428571429
2021-05-02,4,6.285714285714286
2021-05-03,2,5.0
2021-05-04,6,4.714285714285714
2021-05-05,6,5.0
2021-05-06,7,5.142857142857143
2021-05-07,11,5.428571428571429
2021-05-08,12,6.0
2021-05-09,7,6.857142857142857
2021-05-10,12,7.285714285714286
2021-05-11,6,8.714285714285714
2021-05-12,4,8.714285714285714
2021-05-13,8,8.428571428571429
2021-05-14,7,8.571428571428571
2021-05-15,4,8.0
2021-05-16,8,6.857142857142857
2021-05-17,5,7.0
2021-05-18,3,6.0
2021-05-19,7,5.571428571428571
2021-05-20,8,6.0
2021-05-21,7,6.0
2021-05-22,5,6.0
2021-05-23,9,6.142857142857143
2021-05-24,6,6.285714285714286
2021-05-25,4,6.428571428571429
2021-05-26,8,6.571428571428571
2021-05-27,9,6.714285714285714
2021-05-28,6,6.857142857142857
2021-05-29,6,6.714285714285714
2021-05-30,11,6.857142857142857
2021-05-31,7,7.142857142857143
2021-06-01,7,7.285714285714286
2021-06-02,10,7.714285714285714
2021-06-03,7,8.0
2021-06-04,13,7.714285714285714
2021-06-05,9,8.714285714285714
2021-06-06,10,9.142857142857142
2021-06-07,9,9.0
2021-06-08,9,9.285714285714286
2021-06-09,13,9.571428571428571
2021-06-10,13,10.0
2021-06-11,13,10.857142857142858
2021-06-12,18,10.857142857142858
2021-06-13,9,12.142857142857142
2021-06-14,9,12.0
2021-06-15,10,12.0
2021-06-16,13,12.142857142857142
2021-06-17,7,12.142857142857142
2021-06-18,12,11.285714285714286
2021-06-19,14,11.142857142857142
2021-06-20,9,10.571428571428571
2021-06-21,13,10.571428571428571
2021-06-22,4,11.142857142857142
2021-06-23,4,10.285714285714286
2021-06-24,7,9.0
2021-06-25,5,9.0
2021-06-26,11,8.0
2021-06-27,10,7.571428571428571
2021-06-28,5,7.714285714285714
2021-06-29,8,6.571428571428571
2021-06-30,6,7.142857142857143
2021-07-01,18,7.428571428571429
2021-07-02,16,9.0
2021-07-03,13,10.571428571428571
2021-07-04,5,10.857142857142858
