y_m_j,Nbre_Acc
2021-01-01,6
2021-01-02,4
2021-01-03,5
2021-01-04,4
2021-01-05,2
2021-01-06,5
2021-01-07,8
2021-01-08,8
2021-01-09,7
2021-01-10,6
2021-01-11,10
2021-01-12,7
2021-01-13,8
2021-01-14,7
2021-01-15,6
2021-01-16,7
2021-01-17,4
2021-01-18,4
2021-01-19,7
2021-01-20,4
2021-01-21,4
2021-01-22,9
2021-01-23,7
2021-01-24,8
2021-01-25,6
2021-01-26,6
2021-01-27,8
2021-01-28,4
2021-01-29,5
2021-01-30,7
2021-01-31,5
2021-02-01,5
2021-02-02,4
2021-02-03,11
2021-02-04,6
2021-02-05,2
2021-02-06,6
2021-02-07,4
2021-02-08,3
2021-02-09,7
2021-02-10,7
2021-02-11,7
2021-02-12,3
2021-02-13,9
2021-02-14,8
2021-02-15,3
2021-02-16,11
2021-02-17,7
2021-02-18,3
2021-02-19,17
2021-02-20,9
2021-02-21,6
2021-02-22,4
2021-02-23,6
2021-02-24,4
2021-02-25,6
2021-02-26,7
2021-02-27,7
2021-02-28,8
2021-03-01,4
2021-03-02,1
2021-03-03,3
2021-03-04,3
2021-03-05,4
2021-03-06,12
2021-03-07,8
2021-03-08,7
2021-03-09,6
2021-03-10,5
2021-03-11,4
2021-03-12,11
2021-03-13,6
2021-03-14,9
2021-03-15,4
2021-03-16,5
2021-03-17,3
2021-03-18,6
2021-03-19,8
2021-03-20,9
2021-03-21,5
2021-03-22,4
2021-03-23,9
2021-03-24,4
2021-03-25,6
2021-03-26,8
2021-03-27,13
2021-03-28,7
2021-03-29,3
2021-03-30,5
2021-03-31,5
2021-04-01,9
2021-04-02,10
2021-04-03,11
2021-04-04,5
2021-04-05,5
2021-04-06,2
2021-04-07,7
2021-04-08,4
2021-04-09,6
2021-04-10,4
2021-04-11,7
2021-04-12,7
2021-04-13,4
2021-04-14,11
2021-04-15,9
2021-04-16,10
2021-04-17,6
2021-04-18,8
2021-04-19,2
2021-04-20,9
2021-04-21,6
2021-04-22,10
2021-04-23,11
2021-04-24,14
2021-04-25,13
2021-04-26,4
2021-04-27,4
2021-04-28,5
2021-04-29,5
2021-04-30,7
2021-05-01,6
2021-05-02,4
2021-05-03,2
2021-05-04,6
2021-05-05,6
2021-05-06,7
2021-05-07,11
2021-05-08,12
2021-05-09,7
2021-05-10,12
2021-05-11,6
2021-05-12,4
2021-05-13,8
2021-05-14,7
2021-05-15,4
2021-05-16,8
2021-05-17,5
2021-05-18,3
2021-05-19,7
2021-05-20,8
2021-05-21,7
2021-05-22,5
2021-05-23,9
2021-05-24,6
2021-05-25,4
2021-05-26,8
2021-05-27,9
2021-05-28,6
2021-05-29,6
2021-05-30,11
2021-05-31,7
2021-06-01,7
2021-06-02,10
2021-06-03,7
2021-06-04,13
2021-06-05,9
2021-06-06,10
2021-06-07,9
2021-06-08,9
2021-06-09,13
2021-06-10,13
2021-06-11,13
2021-06-12,18
2021-06-13,9
2021-06-14,9
2021-06-15,10
2021-06-16,13
2021-06-17,7
2021-06-18,12
2021-06-19,14
2021-06-20,9
2021-06-21,13
2021-06-22,4
2021-06-23,4
2021-06-24,7
2021-06-25,5
2021-06-26,11
2021-06-27,10
2021-06-28,5
2021-06-29,8
2021-06-30,6
2021-07-01,18
2021-07-02,16
2021-07-03,13
2021-07-04,5
2021-07-05,8
2021-07-06,7
2021-07-07,13
2021-07-08,15
2021-07-09,10
2021-07-10,11
2021-07-11,17
2021-07-12,8
2021-07-13,3
2021-07-14,8
2021-07-15,14
2021-07-16,12
2021-07-17,11
2021-07-18,14
2021-07-19,9
2021-07-20,6
2021-07-21,10
2021-07-22,7
2021-07-23,13
2021-07-24,13
2021-07-25,11
2021-07-26,10
2021-07-27,6
2021-07-28,6
2021-07-29,10
2021-07-30,8
2021-07-31,12
2021-08-01,8
2021-08-02,7
2021-08-03,11
2021-08-04,5
2021-08-05,8
2021-08-06,8
2021-08-07,10
2021-08-08,10
2021-08-09,10
2021-08-10,5
2021-08-11,5
2021-08-12,19
2021-08-13,11
2021-08-14,11
2021-08-15,7
2021-08-16,10
2021-08-17,10
2021-08-18,5
2021-08-19,10
2021-08-20,11
2021-08-21,5
2021-08-22,6
2021-08-23,9
