y_m;Num_Acc
2013-01-01 00:00:00;4396
2013-02-01 00:00:00;3891
2013-03-01 00:00:00;4045
2013-04-01 00:00:00;4553
2013-05-01 00:00:00;4633
2013-06-01 00:00:00;5517
2013-07-01 00:00:00;5637
2013-08-01 00:00:00;4466
2013-09-01 00:00:00;5607
2013-10-01 00:00:00;5506
2013-11-01 00:00:00;5113
2013-12-01 00:00:00;5033
2014-01-01 00:00:00;4783
2014-02-01 00:00:00;4224
2014-03-01 00:00:00;4773
2014-04-01 00:00:00;4967
2014-05-01 00:00:00;5113
2014-06-01 00:00:00;5550
2014-07-01 00:00:00;4883
2014-08-01 00:00:00;4216
2014-09-01 00:00:00;5467
2014-10-01 00:00:00;5745
2014-11-01 00:00:00;5208
2014-12-01 00:00:00;4925
2015-01-01 00:00:00;4437
2015-02-01 00:00:00;3900
2015-03-01 00:00:00;4453
2015-04-01 00:00:00;4829
2015-05-01 00:00:00;4917
2015-06-01 00:00:00;5704
2015-07-01 00:00:00;5198
2015-08-01 00:00:00;4431
2015-09-01 00:00:00;5347
2015-10-01 00:00:00;5273
2015-11-01 00:00:00;5146
2015-12-01 00:00:00;5019
2016-01-01 00:00:00;4802
2016-02-01 00:00:00;4101
2016-03-01 00:00:00;4599
2016-04-01 00:00:00;4430
2016-05-01 00:00:00;5139
2016-06-01 00:00:00;5328
2016-07-01 00:00:00;5252
2016-08-01 00:00:00;4311
2016-09-01 00:00:00;5408
2016-10-01 00:00:00;5596
2016-11-01 00:00:00;5356
2016-12-01 00:00:00;5110
2017-01-01 00:00:00;4589
2017-02-01 00:00:00;4088
2017-03-01 00:00:00;5100
2017-04-01 00:00:00;5112
2017-05-01 00:00:00;5266
2017-06-01 00:00:00;5935
2017-07-01 00:00:00;5333
2017-08-01 00:00:00;4453
2017-09-01 00:00:00;5252
2017-10-01 00:00:00;5524
2017-11-01 00:00:00;5183
2017-12-01 00:00:00;4866
2018-01-01 00:00:00;4350
2018-02-01 00:00:00;3458
2018-03-01 00:00:00;4152
2018-04-01 00:00:00;4833
2018-05-01 00:00:00;5055
2018-06-01 00:00:00;5579
2018-07-01 00:00:00;5241
2018-08-01 00:00:00;4336
2018-09-01 00:00:00;5532
2018-10-01 00:00:00;5698
2018-11-01 00:00:00;4883
2018-12-01 00:00:00;4666
2019-01-01 00:00:00;4225
2019-02-01 00:00:00;4286
2019-03-01 00:00:00;4717
2019-04-01 00:00:00;4616
2019-05-01 00:00:00;4868
2019-06-01 00:00:00;5442
2019-07-01 00:00:00;5520
2019-08-01 00:00:00;4466
2019-09-01 00:00:00;5344
2019-10-01 00:00:00;5376
2019-11-01 00:00:00;4893
2019-12-01 00:00:00;5087
2020-01-01 00:00:00;4749
2020-02-01 00:00:00;4292
2020-03-01 00:00:00;2609
2020-04-01 00:00:00;1208
2020-05-01 00:00:00;3294
2020-06-01 00:00:00;4389
2020-07-01 00:00:00;5236
2020-08-01 00:00:00;4587
2020-09-01 00:00:00;5472
2020-10-01 00:00:00;4713
2020-11-01 00:00:00;3130
2020-12-01 00:00:00;4065
2021-01-01 00:00:00;3757
2021-02-01 00:00:00;3350
2021-03-01 00:00:00;4105
2021-04-01 00:00:00;3841
2021-05-01 00:00:00;4835
2021-06-01 00:00:00;5865
2021-07-01 00:00:00;5373
2021-08-01 00:00:00;4590
2021-09-01 00:00:00;5671
2021-10-01 00:00:00;5832
2021-11-01 00:00:00;4665
2021-12-01 00:00:00;4634
2022-01-01 00:00:00;3981
2022-02-01 00:00:00;3901
2022-03-01 00:00:00;4529
2022-04-01 00:00:00;4340
2022-05-01 00:00:00;5299
2022-06-01 00:00:00;5418
2022-07-01 00:00:00;5068
2022-08-01 00:00:00;4173
2022-09-01 00:00:00;4919
2022-10-01 00:00:00;5026
2022-11-01 00:00:00;4542
2022-12-01 00:00:00;4106
