date;vacances_zone_a;vacances_zone_b;vacances_zone_c;nom_vacances
01/01/1990;False;False;False;
02/01/1990;False;False;False;
03/01/1990;False;False;False;
04/01/1990;False;False;False;
05/01/1990;False;False;False;
06/01/1990;False;False;False;
07/01/1990;False;False;False;
08/01/1990;False;False;False;
09/01/1990;False;False;False;
10/01/1990;False;False;False;
11/01/1990;False;False;False;
12/01/1990;False;False;False;
13/01/1990;False;False;False;
14/01/1990;False;False;False;
15/01/1990;False;False;False;
16/01/1990;False;False;False;
17/01/1990;False;False;False;
18/01/1990;False;False;False;
19/01/1990;False;False;False;
20/01/1990;False;False;False;
21/01/1990;False;False;False;
22/01/1990;False;False;False;
23/01/1990;False;False;False;
24/01/1990;False;False;False;
25/01/1990;False;False;False;
26/01/1990;False;False;False;
27/01/1990;False;False;False;
28/01/1990;False;False;False;
29/01/1990;False;False;False;
30/01/1990;False;False;False;
31/01/1990;False;False;False;
01/02/1990;False;False;False;
02/02/1990;False;False;False;
03/02/1990;False;False;False;
04/02/1990;False;False;False;
05/02/1990;False;False;False;
06/02/1990;False;False;False;
07/02/1990;False;False;False;
08/02/1990;False;False;False;
09/02/1990;False;False;False;
10/02/1990;False;False;False;
11/02/1990;False;False;False;
12/02/1990;False;False;False;
13/02/1990;False;False;False;
14/02/1990;False;False;False;
15/02/1990;False;False;False;
16/02/1990;False;False;False;
17/02/1990;False;False;False;
18/02/1990;False;False;False;
19/02/1990;False;False;False;
20/02/1990;False;False;False;
21/02/1990;False;False;False;
22/02/1990;False;False;False;
23/02/1990;False;False;False;
24/02/1990;False;False;False;
25/02/1990;False;False;False;
26/02/1990;False;False;False;
27/02/1990;False;False;False;
28/02/1990;False;False;False;
01/03/1990;False;False;False;
02/03/1990;False;False;False;
03/03/1990;False;False;False;
04/03/1990;False;False;False;
05/03/1990;False;False;False;
06/03/1990;False;False;False;
07/03/1990;False;False;False;
08/03/1990;False;False;False;
09/03/1990;False;False;False;
10/03/1990;False;False;False;
11/03/1990;False;False;False;
12/03/1990;False;False;False;
13/03/1990;False;False;False;
14/03/1990;False;False;False;
15/03/1990;False;False;False;
16/03/1990;False;False;False;
17/03/1990;False;False;False;
18/03/1990;False;False;False;
19/03/1990;False;False;False;
20/03/1990;False;False;False;
21/03/1990;False;False;False;
22/03/1990;False;False;False;
23/03/1990;False;False;False;
24/03/1990;False;False;False;
25/03/1990;False;False;False;
26/03/1990;False;False;False;
27/03/1990;False;False;False;
28/03/1990;False;False;False;
29/03/1990;False;False;False;
30/03/1990;False;False;False;
31/03/1990;False;False;False;
01/04/1990;False;False;False;
02/04/1990;False;False;False;
03/04/1990;False;False;False;
04/04/1990;False;False;False;
05/04/1990;False;False;False;
06/04/1990;False;False;False;
07/04/1990;False;False;False;
08/04/1990;False;False;False;
09/04/1990;False;False;False;
10/04/1990;False;False;False;
11/04/1990;False;False;False;
12/04/1990;False;False;False;
13/04/1990;False;False;False;
14/04/1990;False;False;False;
15/04/1990;False;False;False;
16/04/1990;False;False;False;
17/04/1990;False;False;False;
18/04/1990;False;False;False;
