iter	Passed	Remaining
0	495	247332
1	784	195235
2	1074	178077
3	1311	162612
4	1604	158832
5	1842	151698
6	2066	145550
7	2303	141667
8	2521	137584
9	2746	134555
10	2968	131978
11	3183	129452
12	3392	127075
13	3600	125002
14	3808	123156
15	4021	121650
16	4237	120401
17	4443	118986
18	4647	117643
19	4851	116445
20	5071	115667
21	5318	115556
22	5532	114741
23	5773	114513
24	5987	113760
25	6238	113735
26	6488	113668
27	6736	113552
28	6979	113360
29	7193	112695
30	7399	111950
31	7635	111674
32	7891	111680
33	8105	111094
34	8322	110569
35	8566	110413
36	8810	110245
37	9059	110139
38	9327	110251
39	9584	110222
40	9795	109662
41	10047	109569
42	10294	109413
43	10534	109177
44	10777	108977
45	11040	108961
46	11293	108849
47	11491	108216
48	11723	107901
49	11928	107354
50	12177	107208
51	12419	107000
52	12636	106577
53	12862	106230
54	13092	105929
55	13325	105653
56	13532	105175
57	13736	104684
58	13947	104254
59	14200	104138
60	14413	103731
61	14628	103340
62	14863	103103
63	15104	102902
64	15353	102749
65	15569	102382
66	15806	102155
67	16041	101911
68	16278	101679
69	16513	101442
70	16727	101073
71	16943	100722
72	17151	100325
73	17409	100223
74	17643	99979
75	17872	99711
76	18197	99969
77	18410	99607
78	18631	99290
79	18910	99281
80	19193	99286
81	19567	99747
82	19906	100009
83	20176	99919
84	20422	99709
85	20640	99361
86	20885	99147
87	21133	98942
88	21432	98975
89	21683	98781
90	21892	98396
91	22121	98104
92	22336	97753
93	22545	97375
94	22791	97165
95	22998	96786
96	23242	96564
97	23457	96225
98	23686	95941
99	23911	95645
100	24175	95504
101	24424	95303
102	24670	95088
103	24915	94870
104	25208	94832
105	25444	94577
106	25679	94318
107	25942	94162
108	26215	94040
109	26480	93886
110	26689	93532
111	26926	93280
112	27146	92970
113	27404	92791
114	27686	92691
115	27938	92485
116	28179	92246
117	28399	91938
118	28621	91635
119	28868	91416
120	29118	91205
121	29344	90921
122	29552	90579
123	29776	90289
124	30020	90060
125	30349	90084
126	30591	89847
127	30799	89511
128	31034	89254
129	31266	88990
130	31506	88746
131	31745	88502
132	31965	88206
133	32212	87983
134	32456	87753
135	32704	87533
136	32940	87279
137	33272	87279
138	33562	87165
139	33876	87112
140	34133	86907
141	34396	86717
142	34650	86505
143	34925	86343
144	35195	86167
145	35412	85862
146	35843	86074
147	36101	85862
148	36350	85631
149	36591	85380
150	36829	85121
151	37088	84913
152	37355	84721
153	37568	84407
154	37804	84144
155	38017	83833
156	38272	83613
157	38564	83474
158	38820	83256
159	39138	83169
160	39445	83055
161	39761	82959
162	39963	82624
163	40182	82325
164	40425	82077
165	40656	81802
166	40908	81571
167	41111	81244
168	41364	81015
169	41583	80720
170	41843	80505
171	42072	80231
172	42292	79940
173	42523	79670
174	42807	79500
175	43061	79271
176	43311	79037
177	43559	78799
178	43816	78576
179	44035	78285
180	44239	77968
181	44491	77737
182	44756	77529
183	45002	77286
184	45263	77069
185	45570	76931
186	45853	76749
187	46102	76510
188	46392	76339
189	46732	76247
190	47114	76222
191	47338	75939
192	47600	75716
193	47845	75468
194	48057	75167
195	48309	74928
196	48540	74659
197	48802	74436
198	49057	74201
199	49337	74006
200	49575	73746
201	49858	73554
202	50141	73360
203	50430	73173
204	50794	73094
205	51062	72874
206	51282	72588
207	51536	72348
208	51752	72057
209	51980	71782
210	52225	71530
211	52474	71286
212	52725	71042
213	52962	70781
214	53207	70530
215	53430	70251
216	53654	69973
217	53906	69732
218	54118	69439
219	54331	69148
220	54564	68884
221	54778	68596
222	55018	68341
223	55254	68081
224	55519	67856
225	55766	67610
226	56013	67364
227	56308	67175
228	56570	66945
229	56801	66680
230	57033	66416
231	57294	66185
232	57542	65938
233	57798	65702
234	58050	65460
235	58329	65250
236	58592	65019
237	58843	64776
238	59172	64619
239	59419	64371
240	59639	64094
241	59887	63847
242	60111	63574
243	60405	63376
244	60661	63137
245	60959	62941
246	61328	62818
247	61668	62663
248	61899	62397
249	62182	62182
250	62435	61937
251	62673	61678
252	62903	61411
253	63160	61171
254	63376	60891
255	63648	60665
256	63937	60454
257	64168	60189
258	64442	59964
259	64721	59742
260	64940	59466
261	65222	59247
262	65470	58997
263	65684	58718
264	65887	58428
265	66150	58192
266	66397	57942
267	66632	57682
268	66877	57429
269	67165	57214
270	67457	57002
271	67691	56741
272	67923	56478
273	68128	56193
274	68376	55944
275	68619	55691
276	68824	55407
277	69063	55151
278	69312	54903
279	69614	54696
280	69827	54420
281	70038	54143
282	70346	53940
283	70640	53726
284	70898	53485
285	71149	53237
286	71403	52992
287	71618	52718
288	71867	52470
289	72093	52205
290	72335	51952
291	72559	51686
292	72800	51432
293	73042	51179
294	73281	50924
295	73553	50692
296	73786	50433
297	74038	50186
298	74280	49934
299	74519	49679
300	74778	49438
301	75030	49192
302	75308	48962
303	75606	48746
304	75881	48514
305	76155	48281
306	76390	48023
307	76688	47805
308	76981	47584
309	77280	47365
310	77570	47141
311	77848	46908
312	78073	46644
313	78309	46387
314	78527	46119
315	78785	45874
316	79029	45622
317	79272	45369
318	79489	45102
319	79755	44862
320	80002	44611
321	80252	44363
322	80494	44109
323	80743	43860
324	81002	43616
325	81255	43369
326	81512	43124
327	81777	42883
328	82031	42636
329	82293	42393
330	82501	42122
331	82737	41867
332	82955	41602
333	83249	41375
334	83499	41126
335	83712	40859
336	83922	40591
337	84158	40336
338	84391	40079
339	84638	39829
340	84937	39604
341	85189	39356
342	85474	39123
343	85784	38902
344	86020	38646
345	86220	38375
346	86465	38124
347	86719	37877
348	86933	37613
349	87177	37361
350	87419	37109
351	87673	36862
352	87919	36612
353	88187	36371
354	88396	36105
355	88629	35850
356	88868	35597
357	89118	35348
358	89353	35094
359	89600	34844
360	89870	34603
361	90130	34359
362	90340	34095
363	90619	33858
364	90879	33613
365	91093	33351
366	91335	33099
367	91582	32850
368	91823	32598
369	92059	32345
370	92267	32082
371	92510	31831
372	92763	31584
373	92982	31325
374	93219	31073
375	93495	30833
376	93785	30598
377	94022	30346
378	94250	30090
379	94505	29843
380	94716	29583
381	94934	29325
382	95237	29093
383	95470	28839
384	95714	28589
385	95963	28341
386	96165	28079
