iter	MultiClassOneVsAll
0	0.6834571171
1	0.6743351953
2	0.6657403406
3	0.6576742836
4	0.6500644622
5	0.6427613242
6	0.6358610138
7	0.6293374093
8	0.6231710438
9	0.6173372715
10	0.6117423879
11	0.6064831106
12	0.601430203
13	0.596640777
14	0.5921100622
15	0.5877746206
16	0.5836614321
17	0.5797438654
18	0.57601348
19	0.572460234
20	0.5693632136
21	0.5661334797
22	0.5630667676
23	0.5604610316
24	0.5575886259
25	0.5549142994
26	0.5525568804
27	0.5502844267
28	0.5479307814
29	0.545694092
30	0.5435683674
31	0.5417365633
32	0.5400036486
33	0.5380162644
34	0.5363563035
35	0.5348184104
36	0.5330493336
37	0.5317145306
38	0.5302475855
39	0.5286681044
40	0.5271968827
41	0.525899819
42	0.5242750308
43	0.5226070644
44	0.5210186225
45	0.5195110457
46	0.5180754612
47	0.5167121046
48	0.5154155777
49	0.5141775638
50	0.5130041239
51	0.5118885257
52	0.5108270654
53	0.5098164225
54	0.508856558
55	0.5078979153
56	0.507003373
57	0.5061445948
58	0.5052918334
59	0.5045228702
60	0.503717107
61	0.5029826661
62	0.5022529896
63	0.5015696743
64	0.500943288
65	0.5002969457
66	0.4996937567
67	0.4990792575
68	0.4984978467
69	0.4978874988
70	0.4973748023
71	0.4968030942
72	0.4963917746
73	0.4959002616
74	0.4954488107
75	0.494930816
76	0.4945003239
77	0.4940367437
78	0.4935518979
79	0.4930771905
80	0.4925216889
81	0.4920840898
82	0.4916483689
83	0.4912384302
84	0.4908494339
85	0.490490028
86	0.4901271037
87	0.4896307466
88	0.4892447561
89	0.4889302492
90	0.4885982712
91	0.4882283844
92	0.4878896889
93	0.4875762879
94	0.4872200356
95	0.486931011
96	0.4866410537
97	0.4862889547
98	0.4859828097
99	0.4856309131
100	0.4852945188
101	0.4849772557
102	0.4847102291
103	0.4843981366
104	0.4841407094
105	0.4838887375
106	0.4835313376
107	0.483285237
108	0.4830528596
109	0.482803596
110	0.4825605763
111	0.48224137
112	0.4819909678
113	0.4817406442
114	0.4814869916
115	0.4807553933
116	0.4804175333
117	0.4802025326
118	0.47996854
119	0.4797403553
120	0.4794972524
121	0.4792730987
122	0.479107547
123	0.4788429745
124	0.4786406483
125	0.4784248811
126	0.4777711677
127	0.4775583714
128	0.4773331837
129	0.4770579227
130	0.4768024012
131	0.4765800684
132	0.4762283347
133	0.4759700199
134	0.4757056639
135	0.4755486748
136	0.4753715503
137	0.4747741703
138	0.474209353
139	0.4740201541
140	0.4738283628
141	0.4736282826
142	0.4730899253
143	0.4728786276
144	0.4726533106
145	0.4724479503
146	0.4722824184
147	0.4721155117
148	0.4719304772
149	0.4716340325
150	0.4714509324
151	0.4712446588
152	0.4710437561
153	0.4705471167
154	0.4703973967
155	0.4702603523
156	0.470105767
157	0.4698623718
158	0.4696978466
159	0.4694479699
160	0.4691914491
161	0.469010614
162	0.4687658955
163	0.4686089509
164	0.4681459853
165	0.4680253696
166	0.4677969182
167	0.4676360195
168	0.4674719772
169	0.4673196394
170	0.467214634
171	0.4669924356
172	0.4665599751
173	0.4664306859
174	0.4662227881
175	0.4660115477
176	0.4658373704
177	0.4657145891
178	0.4655682814
179	0.4654541904
180	0.4652781245
181	0.4651505838
182	0.4649485768
183	0.464788446
184	0.4646185243
185	0.4645027336
186	0.4643751771
187	0.4642204465
188	0.4640755751
189	0.4639670934
190	0.4638266616
191	0.4637103448
192	0.4635941565
193	0.4634916565
194	0.4632938065
195	0.4631621252
196	0.4629575367
197	0.4628732017
198	0.4627790336
199	0.4626650261
200	0.4625397943
201	0.4624499976
202	0.462361224
203	0.4622505032
204	0.4621409313
205	0.4619812302
206	0.4618558179
207	0.4614819647
208	0.4613710032
209	0.4612558399
210	0.4610778743
211	0.4609946188
212	0.4608269079
213	0.4606871783
214	0.4606007663
215	0.4602572366
216	0.4601561447
217	0.4600237913
218	0.4598867552
219	0.4597953617
220	0.4596925726
221	0.459555858
222	0.4594705844
223	0.4593622765
224	0.4592743031
225	0.4589586429
226	0.4588184788
227	0.4587403501
228	0.4585993818
229	0.4583019951
230	0.4580068877
231	0.4579091062
232	0.4578232677
233	0.4577389153
234	0.4576408438
235	0.4573265056
236	0.4571785263
237	0.4570846153
238	0.456856287
239	0.4567843592
240	0.4567074369
241	0.4566274056
242	0.4564876039
243	0.4562732898
244	0.4560712009
245	0.4560000865
246	0.4558094891
247	0.4557187063
248	0.4556459618
249	0.4555601898
250	0.4554295227
251	0.4551667886
252	0.4550967048
253	0.4550336962
254	0.4549334719
255	0.4547981376
256	0.4546669186
257	0.4545932453
258	0.4544552547
259	0.4543815751
260	0.4542320118
261	0.4541677957
262	0.454103801
263	0.4540038502
264	0.4539379931
265	0.4538704335
266	0.4537433775
267	0.4536321047
268	0.4535271879
269	0.4534571052
270	0.4533778478
271	0.4532503102
272	0.4531612566
273	0.4529076146
274	0.4528569013
275	0.4526149078
276	0.45249332
277	0.4523793874
278	0.4523127901
279	0.4521144184
280	0.4520430851
281	0.4519511474
282	0.4518865186
283	0.4518124181
284	0.451751822
285	0.4516844471
286	0.4514770379
287	0.4514108546
288	0.4513116755
289	0.4512432151
290	0.4511673403
291	0.4510815388
292	0.4509264136
293	0.4508268226
294	0.4507615854
295	0.450701723
296	0.4506146655
297	0.4505618018
298	0.45034956
299	0.4502919179
300	0.4502326558
301	0.450067385
302	0.4500065654
303	0.4498508842
304	0.4497560718
305	0.4496674325
306	0.4496032732
307	0.4495417457
308	0.4494801253
309	0.4494231296
310	0.4492673101
311	0.4492114465
312	0.4491222975
313	0.4489758279
314	0.4489197273
315	0.4487318707
316	0.4486822412
317	0.4486105615
318	0.4485343808
319	0.4484792782
320	0.4484288166
321	0.4483207598
322	0.4482778053
323	0.4482357507
324	0.4481957815
325	0.4481140327
326	0.4480386526
327	0.4479976162
328	0.4479554618
329	0.4478992005
330	0.4478536803
331	0.4477878666
332	0.4477235084
333	0.4476732646
334	0.4476133433
335	0.4475647936
336	0.4474846098
337	0.4474361613
338	0.4473441636
339	0.4472742921
340	0.4472375975
341	0.4471962028
342	0.4471506101
343	0.4470926835
344	0.4469766465
345	0.4469174052
346	0.4468551731
347	0.4468057895
348	0.4466825938
349	0.4466330506
350	0.4464698562
351	0.4464192148
352	0.4463631416
353	0.4463182459
354	0.4462335743
355	0.4461877751
356	0.4461407461
357	0.4460815545
358	0.4460472709
359	0.4460094459
360	0.445964901
361	0.445852652
362	0.4458193076
363	0.4457140448
364	0.4456184148
365	0.4455667415
366	0.4455052741
367	0.4454684171
368	0.4454306056
369	0.4453774045
370	0.4453216699
371	0.445275228
372	0.445225942
373	0.4451963245
374	0.4451578017
375	0.4451122954
376	0.4450768264
377	0.444979733
378	0.4449140707
379	0.4448586292
380	0.4448194786
381	0.4447829067
382	0.4447480269
383	0.4446880956
384	0.4446470165
385	0.444609379
386	0.4445687014
387	0.4445332538
388	0.4444866852
389	0.4444404374
390	0.4444130824
391	0.4443701054
392	0.44432989
393	0.4442713721
394	0.4442401092
395	0.4441817217
396	0.4440937999
397	0.4440527232
398	0.4440131741
399	0.443970311
400	0.4439034718
401	0.4438677967
402	0.4438277905
403	0.443778983
404	0.4437560669
405	0.4436814928
406	0.4436231023
407	0.443594024
408	0.4435389581
409	0.4434461812
410	0.4434146159
411	0.4433603105
412	0.4433267489
413	0.4432854076
414	0.4432453228
415	0.4432239495
416	0.4431697591
417	0.4431426245
418	0.4431006415
419	0.4430705343
420	0.4430433056
421	0.4430128729
422	0.4429553584
423	0.4429202934
424	0.4428824173
425	0.4427858648
426	0.4427288505
427	0.4426997534
428	0.442653596
429	0.4425721992
430	0.4425288456
431	0.4424974946
432	0.4424473594
433	0.4423643886
434	0.4423162742
435	0.4422865984
436	0.4422631018
437	0.442220655
438	0.4421975073
439	0.4421679529
440	0.442145958
441	0.442119954
442	0.4420740268
443	0.4420252882
444	0.4419965038
445	0.4419725522
446	0.4419215868
447	0.4418835927
448	0.4418503843
449	0.4418174405
450	0.4417867994
451	0.4417622206
452	0.4417385194
453	0.4417147954
454	0.4416916066
455	0.4416482277
456	0.4416207455
457	0.4415886154
458	0.4415579525
459	0.4415222915
460	0.4414806622
461	0.4414414642
462	0.441404555
463	0.4413458782
464	0.441309366
465	0.4412938482
466	0.4412654275
467	0.4412403423
468	0.4411997823
469	0.4411630687
470	0.4411296208
471	0.4410848211
472	0.4410449811
473	0.4410240357
474	0.4409852742
475	0.4409450255
476	0.4409095255
477	0.4408840084
478	0.440818639
479	0.4407748013
480	0.4407471295
481	0.4407266407
482	0.4406918659
483	0.4406627217
484	0.4406417886
485	0.440620333
486	0.4404907542
487	0.440470448
488	0.4404351253
489	0.440400667
490	0.4403799195
491	0.4403598272
492	0.4403235345
493	0.440300775
494	0.4402670502
495	0.4402515795
496	0.4402277308
497	0.4401826497
498	0.4401428185
499	0.4401176842
