iter	MultiClassOneVsAll
0	0.6501424394
1	0.6139803708
2	0.5849226168
3	0.5594639726
4	0.5399443005
5	0.5226147791
6	0.5083410364
7	0.4975374723
8	0.4874993234
9	0.4784785628
10	0.4711809571
11	0.4647266806
12	0.4593689459
13	0.4547939903
14	0.450001829
15	0.4457330859
16	0.4423302788
17	0.4391778807
18	0.4364135579
19	0.4336792193
20	0.4313872003
21	0.4294695506
22	0.4274038226
23	0.4257935281
24	0.4255462854
25	0.4238370547
26	0.4223410695
27	0.4213490987
28	0.4200874459
29	0.4191599936
30	0.4181181748
31	0.4169466002
32	0.4159063405
33	0.4149150274
34	0.4140299217
35	0.413093642
36	0.4121673834
37	0.4113705779
38	0.4106988107
39	0.4106639728
40	0.4096923695
41	0.4088443025
42	0.4082748225
43	0.4076872656
44	0.4072124872
45	0.406627635
46	0.4061941296
47	0.406158685
48	0.4057369948
49	0.4051173835
50	0.4045895214
51	0.4041016122
52	0.4037068568
53	0.4032743132
54	0.4028465363
55	0.4023372572
56	0.4020186599
57	0.4016581151
58	0.4014615324
59	0.4010295997
60	0.4006509898
61	0.400239949
62	0.399974004
63	0.3995300775
64	0.3991638709
65	0.3989111052
66	0.3987316004
67	0.3982767883
68	0.3979843376
69	0.3979590052
70	0.397643896
71	0.3972958702
72	0.3970762885
73	0.3966760555
74	0.3962201091
75	0.3957237419
76	0.3955442539
77	0.3952629044
78	0.3952516896
79	0.3948713626
80	0.3945881281
81	0.3943838229
82	0.394150358
83	0.393921742
84	0.3934592185
85	0.3929256676
86	0.392828141
87	0.3925275083
88	0.3922978515
89	0.3919010042
90	0.3913647671
91	0.3909756477
92	0.3906513623
93	0.3904553479
94	0.39019988
95	0.3898414936
96	0.389450504
97	0.3891816203
98	0.3887433179
99	0.388415575
100	0.3881886354
101	0.387772971
102	0.3874053155
103	0.3871344999
104	0.3869617702
105	0.3867213819
106	0.386179754
107	0.3858168222
108	0.3855046261
109	0.3853288939
110	0.3849683068
111	0.3846475003
112	0.3843116167
113	0.3839610677
114	0.3837251547
115	0.3833105989
116	0.3831593921
117	0.3828351581
118	0.3826310283
119	0.3823823532
120	0.3819442773
121	0.3816636389
122	0.3814065826
123	0.3811632203
124	0.3808938053
125	0.3805516325
126	0.3802876536
127	0.3800170048
128	0.3798573435
129	0.3795197628
130	0.3789256226
131	0.3785286281
132	0.3782351556
133	0.3779382387
134	0.3775251822
135	0.3772637463
136	0.3770482643
137	0.3768042539
138	0.3765625429
139	0.3762374579
140	0.3760624111
141	0.3756523398
142	0.3753924894
143	0.3752790771
144	0.3750023484
145	0.3745434407
146	0.3743799006
147	0.373965687
148	0.3737831582
149	0.3734693482
150	0.3731987657
151	0.3730378623
152	0.3728801985
153	0.3724643368
154	0.3721524
155	0.3719044182
156	0.3716730553
157	0.3714797898
158	0.3712656543
159	0.3710843152
160	0.3709070176
161	0.3705915604
162	0.3703360746
163	0.3701275619
164	0.3700625524
165	0.3699273481
166	0.3697269206
167	0.3695791328
168	0.3692966064
169	0.3690802504
170	0.3688353518
171	0.3685324831
172	0.3681905268
173	0.3679343163
174	0.3676704694
175	0.3673757678
176	0.3671689785
177	0.366884984
178	0.3665230048
179	0.3663088269
180	0.3660956988
181	0.3658910765
182	0.3656119931
183	0.3654127916
184	0.3651829743
185	0.3651434814
186	0.3649577649
187	0.3646998268
188	0.3644674958
189	0.3641808009
190	0.3641087345
191	0.3639063693
192	0.3637186109
193	0.3635409155
194	0.3633453468
195	0.3631238488
196	0.3629022057
197	0.3627549036
198	0.3625770367
199	0.3623795575
200	0.3621545836
201	0.3620231441
202	0.3617911961
203	0.3615878493
204	0.3614688123
205	0.3613274363
206	0.3611939857
207	0.3610084798
208	0.3607005292
209	0.3605946961
210	0.3604365303
211	0.3601381017
212	0.3598856572
213	0.3597067457
214	0.3595504011
215	0.3593520472
216	0.3592110348
217	0.3589589222
218	0.3587462543
219	0.3585204785
220	0.35834418
221	0.3581645428
222	0.3579464123
223	0.3576334501
224	0.357421277
225	0.3572848108
226	0.3570990187
227	0.3569933013
228	0.3566350189
229	0.3564121846
230	0.3561523659
231	0.3558719375
232	0.3558307652
233	0.3555687325
234	0.3554439253
235	0.3552688313
236	0.3551305974
237	0.354768978
238	0.3546066966
239	0.3544297238
240	0.3543773744
241	0.354257663
242	0.3540386867
243	0.3539115224
244	0.3535780432
245	0.3534884782
246	0.3533654737
247	0.3531356707
248	0.3529577588
249	0.3527539236
250	0.3525864733
251	0.3523775096
252	0.3523120186
253	0.3521755344
254	0.3520098828
255	0.3518373233
256	0.3516128064
257	0.3514933529
258	0.3513621426
259	0.3512527312
260	0.3511159015
261	0.350929094
262	0.3508075561
263	0.3506927994
264	0.3505592608
265	0.3504054984
266	0.3501809102
267	0.3500638369
268	0.349918856
269	0.3497436032
270	0.3495255071
271	0.3492494504
272	0.349087466
273	0.3489768501
274	0.3487483805
275	0.3484632855
276	0.3483530905
277	0.3481826502
278	0.3480646188
279	0.3479230495
280	0.3476490012
281	0.3474658177
282	0.3473645269
283	0.3472299955
284	0.3470079663
285	0.3468477491
286	0.3465042823
287	0.346364554
288	0.3461625416
289	0.3461187493
290	0.3459992232
291	0.3458862009
292	0.3456134192
293	0.3454591531
294	0.3452096657
295	0.3450973132
296	0.3447826618
297	0.3447373914
298	0.3446598953
299	0.3444587099
300	0.3443243857
301	0.3441047594
302	0.3439015434
303	0.3435989928
304	0.3434763838
305	0.343346593
306	0.3431801903
307	0.3430322042
308	0.3428688466
309	0.3426649503
310	0.3424398688
311	0.3422535379
312	0.3420028825
313	0.3418638858
314	0.341772781
315	0.3416203401
316	0.3413823797
317	0.3412316139
318	0.3411133493
319	0.3409561384
320	0.3408205735
321	0.3407271971
322	0.3405156041
323	0.3402418903
324	0.3400570631
325	0.3398136797
326	0.3396113488
327	0.3394273082
328	0.339198034
329	0.3390630778
330	0.3388625209
331	0.3387277327
332	0.3385805384
333	0.3383700701
334	0.3383107129
335	0.3379935494
336	0.3378531406
337	0.3375651722
338	0.3373208048
339	0.3371181895
340	0.336897968
341	0.3367745077
342	0.3366017643
343	0.3364522166
344	0.3363329603
345	0.3362591799
346	0.3360738624
347	0.3358009559
348	0.3356562783
349	0.335419067
350	0.3351697635
351	0.3350433482
352	0.334894279
353	0.3347422679
354	0.334663309
355	0.3343885654
356	0.3342052128
357	0.3338959577
358	0.333816814
359	0.3336814437
360	0.3335305067
361	0.333457969
362	0.3333244418
363	0.33316523
364	0.333069014
365	0.3329452357
366	0.3327628681
367	0.3325988557
368	0.3325123237
369	0.3324156479
370	0.3322737697
371	0.3321358174
372	0.3319430284
373	0.3317715856
374	0.3315908268
375	0.3314183881
376	0.3313358737
377	0.3312961768
378	0.3312145501
379	0.3311431905
380	0.3309969419
381	0.3307281213
382	0.3305960745
383	0.3303558909
384	0.3301944275
385	0.3300302289
386	0.3299232115
387	0.3298473703
