iter	Passed	Remaining
0	1305	505216
1	2601	502051
2	3831	491646
3	5820	558801
4	7730	592180
5	9706	617999
6	11294	614731
7	12794	607718
8	14580	614010
9	16237	613790
10	18069	619274
11	20340	637326
12	21929	632592
13	24009	641391
14	26001	646581
15	27866	647906
16	29449	642686
17	31667	650948
18	33662	653770
19	35309	649700
20	36500	637894
21	38135	634436
22	40235	638524
23	42290	641409
24	42494	617014
25	44213	615590
26	46168	617290
27	47945	616442
28	49567	613612
29	51152	610419
30	53062	611068
31	54695	608486
32	56528	608114
33	58440	608463
34	60335	608528
35	62322	609374
36	63848	605693
37	65664	604800
38	67699	605820
39	67906	590790
40	69752	590342
41	71390	588125
42	73198	587291
43	74728	584237
44	76378	582170
45	77798	578411
46	79749	578611
47	79967	566434
48	81660	564956
49	83649	565469
50	85676	566139
51	87613	566119
52	89854	567945
53	91314	564798
54	93555	566435
55	95553	566495
56	97654	567083
57	99918	568504
58	101691	567058
59	104020	568645
60	105904	567719
61	107837	567017
62	110118	568074
63	111839	566187
64	113612	564568
65	115620	564086
66	117571	563290
67	119701	563300
68	121943	563767
69	122133	554834
70	124039	553808
71	126154	553676
72	128200	553192
73	130000	551625
74	131998	550872
75	133727	548985
76	136296	550496
77	138531	550573
78	138768	542778
79	140908	542496
80	142827	541333
81	144751	540170
82	146982	540115
83	149131	539715
84	151483	539994
85	152762	536444
86	155310	537337
87	157028	535325
88	159319	535243
89	161259	533947
90	162862	531538
91	164914	530594
92	166808	529122
93	168946	528406
94	170826	526863
95	173022	526277
96	175117	525351
97	177340	524783
98	179272	523331
99	181173	521779
100	183023	520075
101	184787	518130
102	186804	516887
103	188706	515312
104	190351	513043
105	192460	512018
106	193997	509469
107	195475	506788
108	197695	506027
109	199676	504636
110	201489	502817
111	203186	500709
112	205317	499666
113	207101	497771
114	208565	495116
115	210187	492852
116	212077	491222
117	213812	489232
118	215424	486968
119	217553	485869
120	219053	483365
121	220213	480136
122	222490	479350
123	225461	480014
124	227316	478273
125	229032	476241
126	231287	475324
127	233142	473569
128	235648	473123
129	237589	471524
130	239250	469369
131	240996	467387
132	243655	467158
133	245639	465614
134	247841	464472
135	249826	462914
136	252057	461798
137	254251	460601
138	256951	460293
139	259351	459422
140	261608	458279
141	263767	456950
142	265957	455661
143	268389	454770
144	270185	452793
145	271932	450737
146	274111	449394
147	275780	447211
148	278113	446101
149	279921	444142
150	281895	442444
151	284396	441563
152	286504	440056
153	288285	438044
154	290276	436350
155	292328	434745
156	294042	432635
157	296431	431513
158	298101	429341
159	300265	427878
160	302779	426900
161	304975	425459
162	307150	423980
163	309431	422637
164	311750	421335
165	313640	419446
166	315390	417372
167	317440	415695
168	319661	414236
169	321831	412701
170	324490	411780
171	326965	410607
172	329254	409189
173	331234	407380
174	334122	406675
175	335914	404624
176	338282	403263
177	340540	401761
178	342741	400184
179	345253	398959
180	347111	396973
181	349074	395105
182	351130	393343
183	353239	391634
184	354915	389447
185	357562	388320
186	359708	386639
187	361959	385063
188	364824	384127
189	367020	382473
190	369618	381229
191	371381	379118
192	373743	377616
193	375316	375316
194	377689	373815
195	379002	371267
196	381171	369561
197	383776	368270
198	386189	366782
199	388747	365423
200	390790	363570
201	392984	361856
202	394490	359511
203	396367	357507
204	398703	355916
205	400975	354260
206	403362	352698
207	405527	350937
208	407689	349169
209	410039	347557
210	411690	345351
211	413640	343399
212	415686	341526
213	417824	339726
214	420191	338107
215	422617	336528
216	424570	334569
217	427107	333065
218	428857	330944
219	430883	329038
220	432745	327006
221	434427	324842
222	436933	323291
223	439183	321545
224	441355	319737
225	443594	317974
226	445543	316002
227	447919	314329
228	449478	312083
229	451542	310189
230	454332	308788
231	456050	306654
232	458396	304941
233	460510	303070
234	463263	301614
235	465985	300126
236	468405	298435
237	470804	296725
238	473191	295002
239	475107	292982
240	477554	291288
241	480057	289621
242	482505	287914
243	484752	286083
244	486612	284022
245	488906	282214
246	490552	280031
247	492745	278163
248	494745	276183
249	496895	274286
250	499399	272580
251	501439	270618
252	503868	268862
253	505277	266563
254	507722	264812
255	510088	263014
256	512534	261253
257	515119	259556
258	517245	257624
259	519453	255731
260	521538	253775
261	523502	251760
262	525759	249885
263	528159	248074
264	530322	246149
265	532591	244271
266	534469	242212
267	536567	240254
268	538597	238264
269	541199	236524
270	543667	234719
271	545759	232750
272	547977	230832
273	550506	229042
274	552857	227174
275	554638	225070
276	557256	223304
277	558954	221168
278	561428	219339
279	563884	217498
280	566171	215588
281	568901	213842
282	571307	211969
283	574071	210223
284	575770	208085
285	577757	206053
286	579823	204049
287	582410	202225
288	584886	200358
289	587261	198453
290	589313	196437
291	591325	194408
292	593105	192303
293	595739	190474
294	597874	188482
295	599910	186458
296	602388	184570
297	605110	182751
298	607531	180837
299	609515	178791
300	611817	176837
301	614253	174919
302	616319	172894
303	618624	170935
304	620425	168837
305	622826	166901
306	625506	165036
307	627490	162984
308	630111	161096
309	632793	159218
310	635166	157259
311	637709	155339
312	639932	153338
313	642282	151365
314	644975	149470
315	647395	147507
316	649904	145562
317	652021	143526
318	654384	141543
319	657003	139613
320	659700	137694
321	662265	135743
322	664514	133725
323	666507	131655
324	668679	129621
325	671043	127621
326	673365	125612
327	674983	123472
328	676716	121356
329	678849	119312
330	681015	117274
331	683455	115281
332	685360	113197
333	686693	111022
334	689612	109102
335	691732	107053
336	694540	105108
337	696549	103039
338	698962	101029
339	701090	98977
340	702727	96856
341	705188	94849
342	707256	92788
343	709927	90804
344	712342	88784
345	714203	86695
346	716005	84600
347	718380	82572
348	721231	80596
349	723515	78553
350	726101	76540
351	728985	74555
352	731757	72553
353	733032	70404
354	735540	68374
355	737923	66330
356	739445	64209
357	741281	62118
358	743987	60099
359	745751	58002
360	747519	55908
361	749497	53831
362	751762	51774
363	753995	49713
364	756759	47686
365	759588	45658
366	761736	43587
367	763478	41493
368	766424	39463
369	769262	37423
370	771464	35350
371	773808	33282
372	775437	31183
373	778108	29127
374	779756	27031
375	781758	24949
376	784298	22884
377	786607	20809
378	789004	18736
379	791825	16670
380	794175	14591
381	796034	12503
382	798693	10426
383	800344	8336
384	802437	6252
385	805072	4171
386	807699	2087
387	810088	0
