iter	Passed	Remaining
0	105	52672
1	206	51426
2	288	47739
3	372	46156
4	456	45191
5	557	45867
6	640	45117
7	722	44441
8	805	43925
9	892	43718
10	974	43328
11	1062	43221
12	1189	44566
13	1282	44517
14	1372	44384
15	1464	44301
16	1558	44278
17	1650	44191
18	1743	44131
19	1836	44064
20	1927	43975
21	2018	43855
22	2113	43833
23	2206	43755
24	2305	43802
25	2441	44501
26	2558	44828
27	2659	44824
28	2761	44848
29	2869	44953
30	2985	45160
31	3086	45139
32	3198	45260
33	3293	45145
34	3389	45025
35	3483	44900
36	3580	44810
37	3680	44743
38	3780	44683
39	3893	44774
40	4007	44861
41	4097	44686
42	4211	44755
43	4306	44635
44	4389	44381
45	4479	44208
46	4560	43958
47	4643	43723
48	4736	43596
49	4821	43397
50	4903	43170
51	4986	42957
52	5070	42762
53	5152	42559
54	5235	42356
55	5317	42160
56	5409	42045
57	5501	41926
58	5612	41951
59	5756	42214
60	5845	42066
61	5937	41943
62	6026	41806
63	6123	41713
64	6214	41586
65	6306	41467
66	6396	41338
67	6485	41202
68	6576	41082
69	6672	40990
70	6789	41024
71	6908	41069
72	7016	41040
73	7116	40968
74	7230	40973
75	7323	40858
76	7434	40838
77	7529	40736
78	7642	40726
79	7754	40711
80	7866	40692
81	7978	40673
82	8097	40681
83	8205	40635
84	8289	40472
85	8395	40413
86	8484	40278
87	8578	40162
88	8677	40073
89	8770	39953
90	8879	39908
91	8991	39874
92	9091	39785
93	9192	39705
94	9292	39617
95	9405	39580
96	9495	39450
97	9586	39325
98	9695	39271
99	9781	39126
100	9881	39035
101	9971	38907
102	10061	38780
103	10152	38656
104	10245	38541
105	10328	38392
106	10447	38374
107	10548	38285
108	10661	38245
109	10777	38212
110	10878	38123
111	10980	38038
112	11090	37982
113	11176	37843
114	11276	37750
115	11377	37665
116	11473	37557
117	11581	37492
118	11700	37462
119	11790	37335
120	11893	37254
121	11994	37162
122	12084	37040
123	12205	37009
124	12308	36924
125	12399	36805
126	12510	36743
127	12609	36645
128	12722	36590
129	12829	36514
130	12919	36390
131	13024	36310
132	13130	36231
133	13243	36173
134	13342	36073
135	13430	35945
136	13528	35845
137	13631	35757
138	13723	35640
139	13824	35548
140	13917	35435
141	14025	35360
142	14137	35293
143	14249	35227
144	14354	35144
145	14438	35008
146	14522	34873
147	14617	34765
148	14719	34674
149	14863	34681
150	14967	34593
151	15078	34521
152	15175	34418
153	15267	34303
154	15372	34216
155	15480	34136
156	15574	34025
157	15667	33912
158	15767	33816
159	15870	33723
160	15977	33643
161	16079	33548
162	16178	33448
163	16274	33342
164	16368	33232
165	16468	33135
166	16572	33045
167	16664	32932
168	16779	32863
169	16876	32760
170	16975	32661
171	17075	32563
172	17174	32463
173	17264	32345
174	17357	32234
175	17441	32107
176	17544	32016
177	17644	31919
178	17745	31822
179	17839	31714
180	17931	31603
181	18013	31473
182	18119	31388
183	18211	31276
184	18313	31182
185	18421	31098
186	18506	30975
187	18605	30877
188	18707	30783
189	18813	30696
190	18914	30599
191	19021	30512
192	19115	30406
193	19215	30308
194	19306	30197
195	19417	30117
196	19507	30004
197	19599	29894
198	19709	29812
199	19809	29714
200	19917	29629
201	20008	29517
202	20104	29414
203	20214	29331
204	20318	29238
205	20409	29128
206	20499	29016
207	20606	28928
208	20715	28842
209	20815	28744
210	20915	28647
211	21019	28554
212	21110	28444
213	21227	28370
214	21321	28263
215	21427	28173
216	21539	28090
217	21630	27981
218	21730	27883
219	21831	27785
220	21924	27677
221	22025	27581
222	22136	27496
223	22251	27417
224	22343	27308
225	22445	27212
226	22553	27124
227	22651	27023
228	22741	26912
229	22842	26814
230	22941	26715
231	23061	26639
232	23164	26544
233	23256	26436
234	23345	26325
235	23447	26229
236	23557	26141
237	23660	26046
238	23776	25964
239	23870	25860
240	23971	25762
241	24085	25678
242	24198	25592
243	24291	25486
244	24384	25379
245	24485	25281
246	24576	25173
247	24673	25071
248	24771	24970
249	24890	24890
250	24983	24784
251	25070	24672
252	25181	24584
253	25281	24485
254	25394	24399
255	25529	24333
256	25642	24245
257	25773	24174
258	25866	24068
259	25986	23987
260	26095	23895
261	26199	23799
262	26311	23710
263	26421	23619
264	26520	23518
265	26644	23439
266	26750	23344
267	26856	23249
268	26957	23149
269	27071	23060
270	27171	22960
271	27287	22873
272	27402	22785
273	27514	22694
274	27617	22596
275	27733	22508
276	27832	22406
277	27951	22321
278	28064	22230
279	28175	22138
280	28277	22038
281	28380	21939
282	28491	21846
283	28585	21741
284	28693	21646
285	28795	21546
286	28889	21440
287	28983	21335
288	29076	21228
289	29168	21121
290	29277	21027
291	29386	20932
292	29491	20835
293	29592	20734
294	29690	20632
295	29792	20533
296	29898	20435
297	30013	20344
298	30116	20245
299	30207	20138
300	30307	20037
301	30420	19944
302	30514	19839
303	30626	19745
304	30717	19639
305	30812	19534
306	30927	19442
307	31036	19347
308	31131	19242
309	31226	19138
310	31343	19047
311	31429	18938
312	31523	18833
313	31637	18740
314	31765	18656
315	31888	18568
316	31991	18468
317	32101	18372
318	32202	18271
319	32309	18174
320	32421	18079
321	32514	17973
322	32624	17877
323	32728	17778
324	32842	17684
325	32939	17581
326	33057	17489
327	33163	17390
328	33273	17294
329	33385	17198
330	33493	17100
331	33607	17006
332	33735	16918
333	33845	16821
334	33978	16735
335	34100	16644
336	34200	16542
337	34300	16440
338	34401	16338
339	34516	16242
340	34641	16152
341	34768	16062
342	34872	15962
343	34982	15864
344	35082	15761
345	35187	15661
346	35309	15568
347	35437	15478
348	35543	15378
349	35666	15285
350	35783	15189
351	35912	15099
352	36014	14997
353	36120	14897
354	36249	14806
355	36377	14714
356	36502	14621
357	36601	14517
358	36708	14417
359	36829	14322
360	36944	14225
361	37068	14131
362	37185	14034
363	37303	13937
364	37402	13833
365	37504	13731
366	37610	13630
367	37716	13528
368	37836	13432
369	37942	13331
370	38057	13233
371	38158	13129
372	38281	13034
373	38406	12939
374	38534	12844
375	38650	12746
376	38776	12651
377	38877	12547
378	39000	12451
379	39130	12356
380	39234	12254
381	39355	12157
382	39485	12062
383	39671	11984
384	39809	11891
385	40008	11816
386	40118	11714
387	40219	11609
388	40345	11512
389	40447	11408
390	40574	11311
391	40685	11209
392	40783	11103
393	40872	10996
394	40988	10895
395	41080	10788
396	41178	10683
397	41272	10577
398	41375	10473
399	41480	10370
400	41580	10265
401	41688	10162
402	41814	10064
403	41927	9962
404	42048	9863
405	42167	9762
406	42280	9661
407	42405	9562
408	42514	9459
409	42624	9356
410	42746	9256
411	42871	9157
412	42970	9051
413	43093	8951
414	43208	8850
415	43309	8745
416	43415	8641
417	43536	8540
418	43652	8438
419	43773	8337
420	43883	8234
421	43972	8127
422	44054	8019
423	44158	7915
424	44268	7812
425	44364	7706
426	44462	7601
427	44545	7493
428	44631	7386
429	44735	7282
430	44835	7177
431	44920	7070
432	45032	6968
433	45135	6863
434	45228	6758
435	45315	6651
436	45398	6544
437	45493	6439
438	45598	6335
439	45701	6231
440	45791	6126
441	45886	6021
442	45978	5915
443	46066	5810
444	46171	5706
445	46269	5602
446	46386	5499
447	46490	5396
448	46585	5291
449	46673	5185
450	46762	5080
451	46869	4977
452	46972	4873
453	47064	4768
454	47158	4663
455	47240	4558
456	47346	4454
457	47446	4351
458	47528	4245
459	47625	4141
460	47708	4036
461	47808	3932
462	47916	3829
463	48035	3726
464	48141	3623
465	48235	3519
466	48335	3415
467	48427	3311
468	48515	3206
469	48624	3103
470	48727	3000
471	48827	2896
472	48922	2792
473	49027	2689
474	49140	2586
475	49252	2483
476	49356	2379
477	49457	2276
478	49577	2173
479	49681	2070
480	49768	1965
481	49863	1862
482	49970	1758
483	50073	1655
484	50172	1551
485	50280	1448
486	50386	1345
487	50483	1241
488	50579	1137
489	50674	1034
490	50761	930
491	50851	826
492	50930	723
493	51016	619
494	51120	516
495	51210	412
