iter	MultiClass
0	1.296918788
1	1.236398695
2	1.190355875
3	1.157013312
4	1.130943389
5	1.108439674
6	1.090016923
7	1.075802453
8	1.063506527
9	1.051255557
10	1.042085031
11	1.034633193
12	1.026998659
13	1.019306179
14	1.012757682
15	1.008258643
16	1.003727461
17	0.9993771647
18	0.9956751948
19	0.9925550024
20	0.9873409921
21	0.9845827125
22	0.9820282451
23	0.9791022927
24	0.9770684942
25	0.9745128241
26	0.9720117593
27	0.9703333371
28	0.9684814879
29	0.9669140134
30	0.9657285902
31	0.9638698592
32	0.9623899942
33	0.9606570963
34	0.9586039837
35	0.9574935471
36	0.9558469975
37	0.9544776049
38	0.9543157469
39	0.9528075569
40	0.9512236862
41	0.9504138598
42	0.9490282269
43	0.9481875763
44	0.9469635102
45	0.9457611517
46	0.9450860931
47	0.9437549924
48	0.9424167167
49	0.9419581489
50	0.9413872457
51	0.9408316425
52	0.9402481808
53	0.9393713904
54	0.9386394665
55	0.9380770238
56	0.9369160448
57	0.9356924026
58	0.9350024444
59	0.9341607283
60	0.9341189833
61	0.9334593472
62	0.9327282973
63	0.9324618872
64	0.9321831883
65	0.9308881284
66	0.930524002
67	0.9303762132
68	0.9297502935
69	0.9291734586
70	0.9286307116
71	0.9277508157
72	0.9272280312
73	0.926235463
74	0.9258100922
75	0.9248180901
76	0.9243079613
77	0.9235879243
78	0.9223424259
79	0.9214884773
80	0.9206908477
81	0.9199012178
82	0.9190329839
83	0.9182683319
84	0.9176566398
85	0.9165908656
86	0.9157242431
87	0.9151876405
88	0.914758616
89	0.9140915743
90	0.9132823269
91	0.9121698449
92	0.9115583865
93	0.9108475385
94	0.9099476662
95	0.9094064812
96	0.908835466
97	0.9082248675
98	0.9076797245
99	0.9071182947
100	0.9065820225
101	0.905646851
102	0.904991522
103	0.9043558509
104	0.9035735415
105	0.9027383883
106	0.9019708083
107	0.9015296559
108	0.9008632953
109	0.8994816397
110	0.899046178
111	0.8986840176
112	0.8980729158
113	0.8974173773
114	0.8965963609
115	0.8957698445
116	0.8949728634
117	0.8940797212
118	0.8935850068
119	0.8929587989
120	0.8922496728
121	0.8917377003
122	0.8911956491
123	0.8907317983
124	0.8901660244
125	0.8897463748
126	0.8895560713
127	0.8889924258
128	0.8883415946
129	0.8878669884
130	0.8873806657
131	0.8870737271
132	0.8867735216
133	0.8860013792
134	0.8858274888
135	0.8853053827
136	0.8847156092
137	0.8841669091
138	0.8837551283
139	0.8832290423
140	0.8829270587
141	0.8823536373
142	0.8820154453
143	0.8813959895
144	0.8811705967
145	0.8805073775
146	0.8797819303
147	0.8792681055
148	0.8790968669
149	0.8787810585
150	0.8783393864
151	0.8777905069
152	0.8774057274
153	0.8768928807
154	0.8765512659
155	0.8761431953
156	0.8755998162
157	0.875340175
158	0.8742867777
159	0.8738849675
160	0.8734424887
161	0.8729906981
162	0.8725218304
163	0.8723179096
164	0.8714146513
165	0.8706482756
166	0.8704281647
167	0.8700535518
168	0.8697709899
169	0.8690321411
170	0.8687197582
171	0.8683735075
172	0.8679594743
173	0.8677126019
174	0.8673837515
175	0.8668808661
176	0.8661223986
177	0.8659478133
178	0.8656937675
179	0.8651727184
180	0.8647278984
181	0.8644897645
182	0.8642195198
183	0.8638473726
184	0.8635231038
185	0.8631359312
186	0.8626207845
187	0.862447993
188	0.8619243328
189	0.861613317
190	0.8609191529
191	0.8605377834
