iter	Passed	Remaining
0	2315	905295
1	4729	922342
2	6977	904793
3	8826	856134
4	10995	851072
5	13045	839258
6	15029	826622
7	17590	844335
8	20237	861215
9	22826	871955
10	25497	883142
11	27581	873406
12	30022	875265
13	32458	876370
14	34939	878154
15	37781	887869
16	40424	891720
17	42851	890358
18	45329	889888
19	47963	892120
20	50116	885386
21	52356	880546
22	55341	887865
23	59298	909238
24	62454	916827
25	65074	916048
26	67650	914528
27	70531	916903
28	73382	918550
29	75595	912187
30	77861	906704
31	80456	905138
32	82825	901044
33	86282	908507
34	89041	908222
35	91673	906553
36	94547	907147
37	97318	906597
38	97675	884088
39	100108	880954
40	102526	877730
41	105568	879735
42	108101	877383
43	110785	876213
44	113003	871386
45	115842	871339
46	118506	869889
47	121092	867826
48	123979	867859
49	126565	865710
50	129286	864446
51	131973	862904
52	134489	860224
53	137935	863376
54	141324	865936
55	144423	866538
56	147529	867057
57	151711	873651
58	155410	877149
59	158268	875751
60	158966	862590
61	162895	867025
62	166955	871877
63	171544	879165
64	175646	883637
65	180230	890228
66	185384	899251
67	186699	889568
68	191119	894660
69	194612	895218
70	199044	899905
71	203225	903225
72	207350	906095
73	211813	910224
74	216013	913016
75	219232	911544
76	224087	916723
77	228639	920419
78	232518	921245
79	236615	922801
80	239683	920267
81	244100	922820
82	247589	921749
83	251980	923927
84	256434	926182
85	259177	922188
86	263059	922218
87	267545	924247
88	271354	923824
89	274807	922132
90	278315	920582
91	281943	919380
92	285602	918226
93	289192	916800
94	292770	915291
95	296532	914308
96	299984	912322
97	303407	910222
98	306140	906053
99	309062	902463
100	311810	898384
101	315074	895801
102	318699	894216
103	322349	892660
104	325749	890381
105	328132	885339
106	331037	881734
107	334535	879704
108	337796	877031
109	341356	875114
110	344315	871645
111	347609	869024
112	350822	866190
113	353830	862850
114	357137	860234
115	360036	856638
116	362781	852691
117	365863	849548
118	369487	847647
119	372702	844792
120	375849	841779
121	378563	837805
122	381694	834763
123	384993	832082
124	389310	831568
125	392149	827870
126	395115	824452
127	398573	822057
128	401952	819484
129	405280	816796
130	408954	814786
131	412474	812450
132	416577	811230
133	419915	808493
134	424217	807584
135	427809	805288
136	431669	803473
137	436586	803571
138	439499	799953
139	442513	796524
140	446366	794596
141	449198	790842
142	452583	788064
143	456483	786165
